N	2gram	Potebnia_M_1	Analitik
1	может быть	27	29
2	в том	26	27
3	не может	22	22
4	и не	18	21
5	и в	39	18
6	а не	21	17
7	но и	20	17
8	не только	21	15
9	тогда как	2	14
10	не в	15	14
11	как и	9	13
12	в его	5	13
13	в этом	15	13
14	том что	16	12
15	при этом	6	12
16	в себе	13	11
17	то есть	42	11
18	но не	8	10
19	то же	6	9
20	а в	5	9
21	в то	4	9
22	в мире	3	8
23	есть не	2	8
24	не есть	10	8
25	нуждается в	2	8
26	но в	9	8
27	к тому	4	7
28	тем самым	4	7
29	времени и	2	6
30	это не	7	6
31	прежде всего	4	6
32	же время	4	6
33	в самом	3	6
34	в сущности	2	6
35	то что	10	6
36	в своей	3	6
37	по отношению	13	6
38	точки зрения	8	6
39	только в	25	6
40	и того	2	5
41	и как	6	5
42	в этой	3	5
43	что в	22	5
44	имеет место	2	5
45	как бы	6	5
46	отношению к	13	5
47	в целом	2	5
48	в их	2	5
49	и его	5	5
50	между тем	5	5
51	что иное	2	5
52	о том	2	5
53	иное как	2	5
54	того что	8	4
55	и более	2	4
56	могут быть	9	4
57	столь же	3	4
58	с другой	7	4
59	по себе	10	4
60	не что	2	4
61	субъекта и	4	4
62	того же	3	4
63	для того	3	4
64	как предмет	2	4
65	все же	6	4
66	вместе с	8	4
67	так и	13	4
68	сознания в	2	4
69	из того	2	4
70	уже не	2	4
71	ни было	2	4
72	не более	4	4
73	с точки	3	4
74	с другим	3	4
75	не следует	5	4
76	с ним	3	4
77	не могут	4	3
78	и есть	2	3
79	однако в	4	3
80	то ни	3	3
81	хотя бы	2	3
82	и все	3	3
83	в собственном	2	3
84	в нем	20	3
85	она может	3	3
86	и т	6	3
87	еще не	6	3
88	одной стороны	3	3
89	что не	10	3
90	никто не	3	3
91	одним из	2	3
92	он не	3	3
93	что и	6	3
94	вопрос об	3	3
95	не будет	2	3
96	бы то	2	3
97	таким образом	13	3
98	с одной	3	3
99	того чтобы	2	3
100	что как	3	3
101	в таком	5	3
102	тому как	4	3
103	подобно тому	3	3
104	т п	4	3
105	могла бы	2	3
106	как будто	2	3
107	что мы	4	3
108	вопроса о	2	3
109	бы быть	4	3
110	быть не	4	3
111	если бы	14	3
112	таком случае	2	3
113	только для	3	2
114	и то	3	2
115	только не	2	2
116	на все	2	2
117	никогда не	4	2
118	для этого	2	2
119	из этих	4	2
120	бытия и	3	2
121	тогда когда	9	2
122	была бы	2	2
123	вовсе не	5	2
124	том и	2	2
125	вопрос о	4	2
126	его к	2	2
127	что именно	2	2
128	а как	2	2
129	бы ни	4	2
130	в начале	2	2
131	то в	5	2
132	и потому	5	2
133	должно быть	7	2
134	для него	4	2
135	было бы	12	2
136	мысль о	2	2
137	несмотря на	5	2
138	душевной жизни	9	2
139	за пределы	2	2
140	и о	2	2
141	одного из	2	2
142	язык есть	17	2
143	не все	2	2
144	со стороны	8	2
145	что же	2	2
146	другой стороны	5	2
147	бы не	6	2
148	той же	3	2
149	и по	6	2
150	как мы	2	2
151	то он	2	2
152	тем более	2	2
153	для себя	3	2
154	одного и	2	2
155	могли бы	2	2
156	при помощи	2	2
157	в первом	5	2
158	нет ничего	2	2
159	так как	21	2
160	думать что	3	2
161	потому что	52	2
162	в которой	2	2
163	в сознании	3	2
164	и с	3	2
