N	3gram	Losev_Prob_5	Psycholo
1	в том что	8	9
2	на то что	2	8
3	не может быть	2	8
4	о том что	9	7
5	во всяком случае	2	6
6	в то время	3	5
7	с одной стороны	3	5
8	с другой стороны	5	5
9	то время как	3	5
10	для того чтобы	2	5
11	только тогда когда	3	4
12	точно так же	3	3
13	в конце концов	6	3
14	до сих пор	2	3
15	как будто бы	3	2
16	по этому поводу	2	2
17	в таком случае	2	2
18	с точки зрения	8	2
19	тем не менее	5	2
20	в настоящее время	3	2
21	вместе с тем	3	2
22	в этом смысле	3	2
23	никак не может	2	2
24	тех или иных	2	2
25	потому что он	2	2
