N	2gram	Propp_Isto_2	Literetu
1	а не	5	20
2	и в	15	19
3	может быть	17	17
4	то же	10	12
5	и не	11	11
6	в том	6	10
7	как и	2	10
8	но и	14	10
9	состоит в	2	9
10	не может	5	9
11	в этом	11	9
12	с другой	2	8
13	не только	18	8
14	пути в	2	8
15	том что	7	7
16	то что	12	7
17	так и	5	7
18	с одной	4	7
19	в себе	4	6
20	одной стороны	3	6
21	при этом	4	6
22	и на	4	6
23	я не	2	5
24	одна из	2	5
25	но не	2	5
26	в качестве	3	5
27	он не	8	5
28	вместе с	7	5
29	так в	3	5
30	того что	3	5
31	что в	12	4
32	со мной	2	4
33	прежде всего	5	4
34	не в	7	4
35	в ней	4	4
36	в его	6	4
37	один из	8	4
38	человека в	2	4
39	так что	6	4
40	другой стороны	2	4
41	мы не	3	4
42	по отношению	3	4
43	тем что	4	4
44	в русской	5	4
45	никогда не	15	3
46	в себя	3	3
47	что он	24	3
48	в нем	7	3
49	по существу	2	3
50	но это	4	3
51	такой же	2	3
52	в этой	4	3
53	в сущности	2	3
54	во всех	2	3
55	и др	4	3
56	отношению к	3	3
57	а именно	3	3
58	в их	3	3
59	и для	2	3
60	так как	14	3
61	но с	2	3
62	тем самым	2	3
63	право на	3	3
64	а в	12	3
65	и его	3	3
66	и то	2	3
67	не столько	2	3
68	и с	4	3
69	в другом	9	3
70	ничего не	7	3
71	уже в	2	2
72	не было	2	2
73	же как	5	2
74	с тем	9	2
75	у него	4	2
76	себя и	2	2
77	в виду	2	2
78	в одном	5	2
79	в жизни	2	2
80	все еще	2	2
81	а также	2	2
82	для нас	4	2
83	этом случае	5	2
84	а затем	2	2
85	еще не	9	2
86	было бы	5	2
87	одной из	4	2
88	как бы	6	2
89	был бы	2	2
90	что и	6	2
91	как он	3	2
92	все же	9	2
93	с ее	2	2
94	и т	19	2
95	из них	2	2
96	могут быть	2	2
97	и только	2	2
98	той же	2	2
99	с образом	2	2
100	и что	6	2
101	и наконец	5	2
102	хотя бы	2	2
103	не видит	3	2
104	не знает	2	2
105	в русском	2	2
106	потому что	9	2
107	одно из	2	2
108	подобно тому	3	2
109	он и	3	2
110	под названием	2	2
111	о том	3	2
112	представляет собой	5	2
113	тому как	3	2
114	к этой	4	2
115	как это	3	2
116	в него	2	2
117	но в	6	2
