N	2gram	Tiupa_Lite_3	Problema
1	то есть	5	46
2	в его	6	43
3	и не	22	42
4	и в	16	38
5	эстетического объекта	6	37
6	эстетический объект	3	37
7	не может	8	27
8	может быть	12	26
9	как бы	8	22
10	по отношению	4	21
11	отнюдь не	3	19
12	отношению к	4	19
13	и с	2	17
14	и его	6	16
15	в нем	2	15
16	в этом	14	15
17	прежде всего	3	13
18	только в	7	13
19	художественного творчества	2	12
20	в единстве	3	12
21	но не	4	12
22	художественного произведения	2	11
23	во всех	2	11
24	и для	4	11
25	в области	3	11
26	отношение к	2	10
27	в поэзии	5	9
28	но и	14	9
29	его в	2	9
30	не только	14	9
31	место в	4	8
32	в том	12	8
33	и как	3	8
34	точки зрения	7	8
35	было бы	2	8
36	то что	12	8
37	входит в	4	8
38	художественное произведение	2	8
39	что в	2	7
40	с другой	6	7
41	не в	10	7
42	в самом	3	7
43	объекта и	2	7
44	между тем	3	7
45	как и	5	7
46	художественное творчество	2	7
47	еще не	6	7
48	совершенно не	3	7
49	в своей	7	7
50	как мы	2	7
51	не всегда	2	6
52	и наконец	3	6
53	а в	5	6
54	все же	2	6
55	самом деле	3	6
56	с точки	3	6
57	там где	3	6
58	отношения к	3	6
59	то же	9	5
60	все они	2	5
61	это не	5	5
62	при этом	15	5
63	никогда не	4	5
64	должно быть	4	5
65	в основе	5	5
66	далеко не	2	5
67	произведения в	3	5
68	объекта в	2	5
69	художника и	2	5
70	объект в	2	5
71	так и	9	5
72	в отличие	5	5
73	за бортом	2	5
74	а не	12	5
75	быть только	2	5
76	отличие от	5	5
77	не менее	2	4
78	другой стороны	2	4
79	данном случае	4	4
80	и только	2	4
81	объект и	2	4
82	с ними	2	4
83	в то	9	4
84	о том	6	4
85	и потому	2	4
86	но в	3	4
87	вне себя	2	4
88	не с	2	4
89	в ее	5	4
90	как в	5	4
91	в романе	3	4
92	тем самым	7	4
93	что не	2	4
94	в данном	4	4
95	более того	3	4
96	в себе	6	4
97	здесь не	2	4
98	себя и	2	3
99	то ни	2	3
100	сказать и	2	3
101	вследствие этого	2	3
102	же время	7	3
103	одной стороны	4	3
104	несмотря на	2	3
105	например в	3	3
106	хотя и	4	3
107	искусства и	3	3
108	и тем	3	3
109	в целом	5	3
110	за его	2	3
111	с одной	4	3
112	и даже	2	3
113	и на	2	3
114	ни было	2	3
115	если бы	2	3
116	и к	3	3
117	том что	8	3
118	бы то	2	3
119	со всеми	2	3
120	об искусстве	4	3
121	оно не	2	3
122	бытия в	2	3
123	в иных	3	3
124	но с	2	3
125	в мире	16	3
126	в слове	3	3
127	не знает	2	3
128	едва ли	3	3
129	а лишь	2	2
130	я не	2	2
131	ни к	3	2
132	в частности	11	2
133	эстетической деятельности	2	2
134	на то	2	2
135	или иной	2	2
136	можно сказать	2	2
137	в свою	2	2
138	той или	2	2
139	не вполне	2	2
140	ни с	2	2
141	этом отношении	5	2
142	лишь в	5	2
143	того что	9	2
144	действительности в	2	2
145	в своих	2	2
146	к себе	8	2
147	в начале	4	2
148	же самое	2	2
149	как это	3	2
150	с его	6	2
151	к этому	2	2
152	что он	5	2
153	у нас	2	2
154	по существу	4	2
155	и при	2	2
156	связи с	2	2
157	за их	2	2
158	поэт в	2	2
159	что и	2	2
160	себя в	7	2
161	человека в	2	2
162	того чтобы	2	2
163	для того	2	2
164	тем что	2	2
165	и ее	2	2
166	в другом	6	2
