N	2gram	Tiupa_Hudo_1	FransuaR
1	и в	14	56
2	в его	8	18
3	все эти	3	15
4	в этом	11	14
5	в том	12	13
6	так и	13	13
7	и его	5	12
8	в то	8	12
9	в этих	5	11
10	до конца	2	11
11	как бы	7	11
12	то же	9	11
13	же время	8	10
14	еще не	7	10
15	мы уже	4	10
16	только в	5	9
17	в самом	4	9
18	но и	5	9
19	и не	2	9
20	том что	16	8
21	по своему	3	8
22	не только	12	8
23	в нем	3	8
24	сих пор	2	8
25	все это	2	8
26	и даже	3	8
27	до сих	2	8
28	и с	4	8
29	в частности	5	7
30	у него	9	7
31	как мы	3	7
32	и на	3	7
33	прежде всего	11	6
34	в ее	3	6
35	в этой	8	6
36	своего времени	3	6
37	той же	2	6
38	потому что	5	6
39	на его	2	6
40	точки зрения	5	6
41	связи с	4	6
42	и все	4	6
43	но в	5	6
44	но не	3	5
45	с его	5	5
46	никогда не	6	5
47	в пределах	3	5
48	с ее	2	5
49	как и	9	5
50	он не	4	5
51	один из	4	5
52	своего рода	7	5
53	что в	6	5
54	не было	4	5
55	в творчестве	3	5
56	в результате	2	5
57	такой же	3	5
58	они не	2	5
59	так сказать	2	5
60	в духе	4	4
61	в себе	11	4
62	в качестве	9	4
63	например в	2	4
64	и к	4	4
65	в третьей	2	4
66	в ней	4	4
67	и потому	2	4
68	даже в	3	4
69	при этом	12	4
70	того чтобы	3	4
71	в изображении	2	4
72	в своих	3	4
73	о том	12	4
74	по своей	4	4
75	одна из	2	4
76	перед нами	5	3
77	казалось бы	7	3
78	в своем	4	3
79	в литературе	3	3
80	так что	2	3
81	в первой	6	3
82	может быть	5	3
83	и о	4	3
84	одной из	2	3
85	а также	3	3
86	то что	8	3
87	в форме	2	3
88	в их	2	3
89	в связи	3	3
90	уже не	7	3
91	не в	7	3
92	между тем	8	3
93	но он	3	3
94	характер и	2	3
95	в другом	2	3
96	характер в	2	3
97	если бы	3	2
98	в речи	2	2
99	это не	7	2
100	на самом	2	2
101	это в	3	2
102	что он	9	2
103	можно сказать	4	2
104	интерес к	5	2
105	ни в	5	2
106	этот момент	2	2
107	для него	10	2
108	было бы	6	2
109	картина мира	4	2
110	в действительности	4	2
111	из них	4	2
112	картины мира	4	2
113	несмотря на	4	2
114	себе и	2	2
115	а в	7	2
116	в центре	4	2
117	по преимуществу	3	2
118	хотя и	2	2
119	прибегает к	2	2
120	что на	2	2
121	его жизни	2	2
122	все же	3	2
123	действующих лиц	2	2
124	в своей	10	2
125	в мире	3	2
126	самом деле	5	2
127	что она	4	2
128	романа в	3	2
129	только на	2	2
130	как раз	4	2
131	не может	7	2
132	как к	3	2
133	в значительной	2	2
134	а не	12	2
135	и для	3	2
136	с точки	3	2
137	его в	3	2
138	мы не	2	2
139	с этой	2	2
140	но с	2	2
141	для своего	2	2
142	с ним	4	2
