N	2gram	Bakhtin_Pr_2	EvropaiE
1	и в	43	37
2	в отношении	3	32
3	в пределах	16	25
4	точки зрения	13	23
5	что в	4	21
6	не только	11	18
7	с точки	8	17
8	в то	7	16
9	хотя бы	2	15
10	то же	8	15
11	отношении к	2	15
12	в своем	4	14
13	же время	5	14
14	но и	14	14
15	и не	29	14
16	но в	10	14
17	в этом	13	12
18	в их	3	11
19	в том	6	11
20	так и	3	10
21	прежде всего	10	9
22	не может	18	9
23	т е	26	9
24	в себе	5	9
25	только в	4	9
26	так же	2	9
27	к тому	4	8
28	было бы	5	8
29	в своей	4	8
30	между тем	3	8
31	как и	14	7
32	по своему	2	7
33	нам кажется	5	7
34	того что	2	7
35	с другой	4	7
36	также и	3	7
37	так как	4	7
38	вовсе не	5	6
39	том что	2	6
40	стороны и	3	6
41	может быть	23	6
42	на то	5	6
43	как бы	22	6
44	то что	7	6
45	во всех	4	6
46	и даже	3	6
47	и на	10	6
48	то есть	4	6
49	не в	11	5
50	но не	5	5
51	как нам	2	5
52	как мы	10	5
53	в той	5	5
54	в виде	3	5
55	ни было	2	4
56	вопрос о	2	4
57	или иной	3	4
58	в самом	7	4
59	той или	3	4
60	даже в	3	4
61	в процессе	2	4
62	по себе	11	4
63	для нас	2	4
64	не на	4	4
65	мы не	4	4
66	в направлении	4	4
67	сказать что	2	4
68	и к	3	3
69	но на	2	3
70	уже и	2	3
71	никогда не	9	3
72	и со	3	3
73	в них	4	3
74	в стороне	2	3
75	на себя	2	3
76	с другом	4	3
77	этом смысле	2	3
78	от них	2	3
79	по своим	3	3
80	мы можем	2	3
81	того же	3	3
82	бы ни	2	3
83	друг с	4	3
84	из них	2	3
85	что и	3	3
86	когда он	3	3
87	ее в	2	3
88	бы и	2	3
89	как в	2	3
90	и только	3	3
91	и для	3	3
92	в таком	2	3
93	можно было	3	3
94	в которых	2	3
95	в результате	4	3
96	во всяком	2	3
97	тем что	3	3
98	ни на	3	3
99	о том	5	3
100	дело в	2	3
101	там где	4	3
102	большинстве случаев	8	3
103	он сам	3	2
104	не могут	4	2
105	а не	7	2
106	в этих	6	2
107	еще более	2	2
108	с этим	2	2
109	в большинстве	9	2
110	и все	6	2
111	в одном	12	2
112	на одну	2	2
113	к нему	5	2
114	для понимания	2	2
115	и эта	2	2
116	одна и	2	2
117	что на	2	2
118	не нужно	2	2
119	как же	2	2
120	и как	2	2
121	в сторону	2	2
122	такой же	3	2
123	есть в	3	2
124	что если	3	2
125	между ними	4	2
126	должна быть	3	2
127	что это	2	2
128	кажется что	3	2
129	она не	3	2
130	от друга	2	2
131	он не	9	2
132	в его	10	2
133	в котором	6	2
134	пожалуй и	2	2
135	не есть	2	2
136	друг от	2	2
137	целый ряд	2	2
138	что же	7	2
139	а в	5	2
140	таким образом	5	2
141	если бы	3	2
142	и что	5	2
143	и наконец	6	2
144	на этот	4	2
145	другой стороны	3	2
146	или в	8	2
147	в своих	2	2
148	этот вопрос	4	2
149	и та	2	2
150	и с	5	2
151	хотя и	5	2
152	могут быть	3	2
153	и еще	2	2
154	ведь и	7	2
155	и то	2	2
156	далеко не	4	2
157	между собой	2	2
158	бы в	5	2
159	в эту	3	2
