N	2gram	Tiupa_Hudo_1	Russkaja
1	не может	7	22
2	и не	15	19
3	в том	18	17
4	в этом	11	17
5	и в	19	14
6	то что	4	13
7	самим собой	4	12
8	таким образом	3	11
9	то же	10	11
10	точки зрения	10	11
11	же время	5	10
12	но и	10	10
13	в то	6	10
14	том что	8	9
15	не только	16	9
16	в себе	9	9
17	с точки	3	9
18	может быть	14	9
19	прежде всего	4	8
20	того чтобы	2	8
21	ни к	2	7
22	отнюдь не	2	7
23	к тому	4	7
24	не будет	2	7
25	в данном	4	7
26	о том	2	7
27	если бы	3	6
28	что он	3	6
29	и к	3	6
30	для него	4	6
31	для того	2	6
32	все это	2	6
33	в своем	2	6
34	и для	2	6
35	себя и	2	5
36	между собой	2	5
37	жизни в	2	5
38	он должен	3	5
39	и на	2	5
40	или иной	7	5
41	при этом	13	5
42	в своей	5	5
43	он не	4	5
44	никогда не	2	5
45	в нем	5	5
46	во всех	3	5
47	а в	12	5
48	потому что	3	5
49	только в	5	5
50	между тем	4	5
51	но не	11	4
52	что в	6	4
53	в мире	21	4
54	как и	2	4
55	более или	5	4
56	как бы	9	4
57	себя в	7	4
58	со стороны	2	4
59	или менее	5	4
60	в их	5	4
61	приводит к	5	4
62	не в	7	4
63	и то	4	4
64	в этой	2	4
65	в его	9	4
66	и т.д	3	4
67	его в	2	4
68	именно в	2	3
69	из этих	3	3
70	что может	2	3
71	при условии	2	3
72	и как	3	3
73	в другом	3	3
74	то в	2	3
75	лишь в	4	3
76	в качестве	24	3
77	еще не	3	3
78	в самом	5	3
79	одной из	2	3
80	той или	4	3
81	и потому	2	3
82	что и	2	3
83	сводится к	7	3
84	того что	4	3
85	и по	2	3
86	или в	2	3
87	культуры в	2	3
88	говорить о	3	3
89	из этого	2	3
90	одна из	2	3
91	в порядке	2	2
92	место в	4	2
93	а с	2	2
94	сама по	2	2
95	и более	2	2
96	в частности	13	2
97	состоит в	16	2
98	или иного	3	2
99	по себе	2	2
100	том и	2	2
101	ни в	5	2
102	уже не	4	2
103	отличается от	2	2
104	и о	3	2
105	отношении к	2	2
106	на почве	3	2
107	для себя	2	2
108	и тем	2	2
109	быть и	2	2
110	но она	2	2
111	ее в	2	2
112	тому что	2	2
113	по отношению	9	2
114	тогда как	13	2
115	отношения к	2	2
116	все эти	2	2
117	и состоит	3	2
118	и что	3	2
119	тем самым	4	2
120	а не	9	2
121	в единое	3	2
122	к нему	3	2
123	так же	2	2
124	их в	3	2
125	с самим	2	2
126	говоря о	3	2
127	того или	3	2
128	в этих	3	2
129	с ним	2	2
130	в области	6	2
131	но в	7	2
