N	2gram	Bakhtin_Pr_2	Sovremen
1	не может	18	17
2	точки зрения	13	12
3	может быть	23	12
4	таким образом	5	11
5	мы не	4	9
6	в каждом	11	8
7	в этом	13	7
8	и в	43	7
9	и не	29	6
10	как и	14	6
11	в результате	4	6
12	мы можем	2	6
13	ничего не	3	6
14	что же	7	5
15	прежде всего	10	5
16	все эти	5	5
17	и наконец	6	5
18	с точки	8	5
19	как бы	22	4
20	если мы	2	4
21	в целом	2	4
22	это не	3	4
23	а в	5	4
24	вопрос о	2	4
25	не только	11	4
26	в том	6	4
27	их в	4	4
28	из них	2	4
29	так как	4	4
30	уже в	2	3
31	все же	3	3
32	между собой	2	3
33	все это	5	3
34	отличается от	2	3
35	в конце	2	3
36	то же	8	3
37	в нем	12	3
38	а не	7	3
39	и к	3	3
40	для нас	2	3
41	у нас	2	3
42	не в	11	3
43	одна из	2	3
44	еще не	9	3
45	при этом	6	3
46	было бы	5	3
47	в одном	12	3
48	и все	6	3
49	как он	2	3
50	в первом	2	3
51	в себе	5	3
52	но в	10	3
53	ведь это	2	3
54	так сказать	6	2
55	совершенно не	4	2
56	в настоящее	2	2
57	пока наконец	2	2
58	не могут	4	2
59	что это	2	2
60	не менее	3	2
61	в виде	3	2
62	у него	6	2
63	значение в	2	2
64	быть и	2	2
65	приводит к	6	2
66	то и	2	2
67	в отличие	4	2
68	из этих	2	2
69	тем же	2	2
70	из одного	4	2
71	еще более	2	2
72	как мы	10	2
73	уже не	3	2
74	или иной	3	2
75	самом деле	5	2
76	и что	5	2
77	и пр	2	2
78	мы с	2	2
79	что такое	2	2
80	на этот	4	2
81	и даже	3	2
82	тем не	2	2
83	той же	3	2
84	конечно в	2	2
85	только так	2	2
86	в таком	2	2
87	но все	2	2
88	такой же	3	2
89	во всяком	2	2
90	времени и	2	2
91	могут быть	3	2
92	с этим	2	2
93	и они	2	2
94	что в	4	2
95	настоящее время	2	2
96	с другом	4	2
97	тот же	3	2
98	со всеми	3	2
99	если же	4	2
100	в самом	7	2
101	друг с	4	2
102	отличие от	4	2
103	в его	10	2
