N	2gram	Losev_Prob_5	SlovoVZh
1	не может	5	16
2	точки зрения	10	14
3	может быть	7	14
4	и его	6	13
5	как бы	6	13
6	таким образом	13	12
7	и в	30	12
8	отношению к	2	11
9	по отношению	2	11
10	и не	12	10
11	так как	6	9
12	прежде всего	6	8
13	для нас	10	7
14	сказать что	9	7
15	в нем	6	6
16	все время	3	6
17	при этом	4	6
18	с помощью	2	6
19	в том	12	6
20	только в	9	6
21	в ней	3	6
22	то что	18	5
23	никогда не	7	5
24	а не	5	5
25	можно сказать	6	5
26	то же	2	5
27	хотя бы	2	5
28	как и	7	5
29	том что	17	5
30	отнюдь не	4	5
31	как в	2	5
32	но в	9	5
33	в виду	3	5
34	и к	4	4
35	все же	9	4
36	отношение к	2	4
37	жизни и	2	4
38	так и	7	4
39	с другой	6	4
40	уже не	6	4
41	что не	2	4
42	не в	7	4
43	в этом	17	4
44	и на	6	4
45	его в	6	4
46	дело в	2	4
47	в самом	5	4
48	к нему	3	4
49	и является	2	4
50	не только	18	4
51	в котором	2	3
52	в них	2	3
53	и более	2	3
54	бы то	2	3
55	не к	2	3
56	не менее	5	3
57	когда он	2	3
58	в своей	22	3
59	сих пор	2	3
60	то ни	2	3
61	и вообще	9	3
62	все эти	2	3
63	ясно что	4	3
64	по себе	2	3
65	но и	13	3
66	того что	3	3
67	тем не	5	3
68	ни в	4	3
69	да и	2	3
70	так же	5	3
71	самом деле	2	3
72	мы не	2	3
73	и с	5	3
74	о том	12	3
75	художественного творчества	8	3
76	в себе	4	3
77	до сих	2	3
78	еще не	3	3
79	и для	6	3
80	конечно не	2	3
81	из этого	4	3
82	здесь не	7	3
83	с ним	3	3
84	но для	2	3
85	между тем	2	3
86	уже в	2	2
87	с этой	2	2
88	что и	6	2
89	в настоящее	3	2
90	но все	4	2
91	что в	5	2
92	данном случае	2	2
93	вместе с	7	2
94	на него	2	2
95	в своем	11	2
96	в отношении	3	2
97	в какой	2	2
98	другой стороны	6	2
99	это не	2	2
100	мы имеем	2	2
101	и все	9	2
102	бы не	3	2
103	и другие	3	2
104	тогда когда	4	2
105	с одной	3	2
106	была бы	2	2
107	к этому	2	2
108	находит в	3	2
109	и что	6	2
110	в атмосфере	2	2
111	едва ли	4	2
112	не так	4	2
113	и вполне	4	2
114	с точки	8	2
115	и притом	5	2
116	в данном	2	2
117	и то	5	2
118	нас и	2	2
119	тем как	2	2
120	форму и	2	2
121	мы можем	5	2
122	но не	7	2
123	быть только	3	2
124	но тем	2	2
125	кроме того	2	2
126	в то	4	2
127	одной стороны	3	2
128	настоящее время	3	2
129	можно найти	6	2
130	в чем	2	2
131	ничего не	2	2
132	он не	3	2
133	в его	12	2
