N	2gram	Berdyaev_O_1	PoTuStor
1	может быть	11	17
2	и в	19	16
3	прежде всего	9	9
4	в этом	12	9
5	и его	4	8
6	и с	2	8
7	не может	4	8
8	с его	4	7
9	сказать что	2	7
10	не только	11	7
11	и к	2	6
12	для него	5	6
13	отношение к	5	5
14	все эти	4	5
15	еще не	3	5
16	как бы	3	5
17	в нем	10	4
18	но и	13	4
19	так и	2	4
20	все это	6	4
21	хотя бы	3	4
22	и все	10	4
23	мысли и	3	4
24	так как	2	4
25	и не	13	4
26	и ее	3	4
27	и на	2	4
28	в этой	5	4
29	все что	3	4
30	его в	2	4
31	но в	2	4
32	в его	7	4
33	в этих	3	3
34	что в	4	3
35	и есть	3	3
36	могут быть	3	3
37	и вот	3	3
38	учение о	2	3
39	в том	5	3
40	а в	5	3
41	том что	2	3
42	то что	5	3
43	и потому	2	3
44	ее в	2	2
45	не могут	3	2
46	что и	2	2
47	не есть	2	2
48	в душе	2	2
49	нем нет	3	2
50	влечет к	3	2
51	никогда не	9	2
52	что не	4	2
53	быть может	3	2
54	к этому	2	2
55	только и	4	2
56	что он	3	2
57	у него	22	2
58	и для	2	2
59	в этот	2	2
60	как и	6	2
61	своей жизни	2	2
62	в глубину	2	2
63	совсем не	2	2
64	он не	7	2
65	и этим	2	2
66	момент в	2	2
67	было бы	3	2
68	о том	3	2
69	в самом	5	2
70	в своей	2	2
71	и о	2	2
72	с ним	3	2
