N	2gram	Propp_Isto_5	Psycholo
1	то что	7	32
2	и в	25	31
3	в том	6	30
4	и т	20	26
5	что в	8	23
6	может быть	17	22
7	таким образом	9	20
8	при помощи	7	20
9	ясно что	5	19
10	совершенно ясно	4	19
11	так как	11	18
12	не может	6	17
13	как и	7	16
14	том что	8	16
15	и не	11	16
16	точки зрения	2	15
17	только в	7	14
18	а не	2	13
19	не только	13	13
20	что и	6	13
21	так же	5	12
22	мы не	5	12
23	в этом	10	12
24	могут быть	6	11
25	не в	6	11
26	на то	2	10
27	того что	2	10
28	потому что	7	10
29	по себе	2	9
30	как в	6	9
31	самом деле	2	9
32	никогда не	3	8
33	вместе с	22	8
34	все это	4	8
35	т д	18	8
36	и что	8	8
37	что мы	2	8
38	что он	22	7
39	том чтобы	2	7
40	только тогда	2	7
41	и его	9	7
42	того чтобы	3	7
43	сказать что	2	7
44	о том	7	7
45	что это	5	6
46	вовсе не	2	6
47	очевидно что	2	6
48	одной стороны	7	6
49	если бы	2	6
50	а в	3	6
51	для того	3	6
52	в его	12	6
53	формы и	2	5
54	и все	3	5
55	тогда когда	2	5
56	в ее	4	5
57	показывает что	5	5
58	все же	10	5
59	так что	2	5
60	мы видим	8	5
61	с одной	7	5
62	для нас	5	5
63	она не	2	5
64	несмотря на	2	5
65	совершенно не	2	5
66	как бы	2	5
67	в целом	3	5
68	оказывается что	2	5
69	другой стороны	8	5
70	и для	2	5
71	то же	4	5
72	с другой	9	5
73	в то	3	5
74	в которой	4	4
75	прежде всего	6	4
76	по существу	2	4
77	же как	4	4
78	одна из	2	4
79	мы увидим	5	4
80	у него	2	4
81	от себя	2	4
82	один из	2	4
83	в этих	6	4
84	со стороны	2	4
85	к этому	2	4
86	с этой	2	4
87	мы можем	2	4
88	там где	6	4
89	мы имеем	14	4
90	под влиянием	2	3
91	уже в	2	3
92	с тем	8	3
93	в частности	7	3
94	к которым	2	3
95	его и	2	3
96	что у	4	3
97	что все	4	3
98	представление о	17	3
99	вопрос о	2	3
100	мы знаем	8	3
101	но это	7	3
102	но не	5	3
103	до сих	2	3
104	из которых	2	3
105	например в	5	3
106	в этой	3	3
107	он не	4	3
108	но мы	3	3
109	сих пор	2	3
110	жизни и	2	3
111	в своей	2	3
112	что при	3	3
113	и других	2	3
114	и по	2	3
115	роль в	2	3
116	в которых	3	3
117	с этим	5	3
118	во всем	2	3
119	и это	4	3
120	т е	16	3
121	не менее	4	2
122	тот кто	7	2
123	такой же	2	2
124	в книге	3	2
125	видели что	2	2
126	уже и	2	2
127	в другой	3	2
128	и как	3	2
129	бы мы	2	2
130	человека и	2	2
131	ее и	3	2
132	не всегда	4	2
133	с ним	4	2
134	и здесь	7	2
135	и вместе	2	2
136	тем не	4	2
137	уже не	11	2
138	и потому	2	2
139	представляет собой	7	2
140	что здесь	3	2
141	в качестве	7	2
142	того же	2	2
143	о чем	2	2
144	означает что	2	2
145	как таковое	2	2
146	они сами	2	2
147	видим что	5	2
148	в него	5	2
149	даже в	2	2
150	и тем	4	2
151	в нем	7	2
152	мы видели	7	2
153	не знаем	3	2
154	из них	2	2
155	когда он	2	2
156	но и	13	2
157	говорит о	2	2
158	как мы	5	2
159	и таким	2	2
160	в связи	4	2
161	в голове	2	2
162	в себя	3	2
163	он же	2	2
164	к нему	3	2
165	его не	3	2
166	ничего не	2	2
167	их в	3	2
168	и с	3	2
169	ту же	2	2
170	его в	9	2
171	тех же	2	2
172	или как	2	2
