N	2gram	Vinokur_St_1	UchenyiS
1	и в	44	14
2	а не	16	10
3	не только	18	10
4	и не	16	8
5	прежде всего	7	8
6	то что	18	7
7	в этом	21	7
8	не может	8	7
9	может быть	15	6
10	хотя бы	6	5
11	все это	5	5
12	и только	3	5
13	то же	5	5
14	но и	10	4
15	в этой	11	4
16	в россии	4	4
17	конечно не	2	4
18	с другой	9	4
19	но в	10	3
20	как и	9	3
21	и то	5	3
22	все же	8	3
23	истории литературы	2	3
24	в своей	6	3
25	в частности	4	3
26	для этого	2	3
27	же время	4	3
28	другой стороны	7	3
29	для него	6	3
30	это не	8	3
31	вряд ли	5	3
32	в то	9	3
33	было бы	17	3
34	этой области	5	3
35	в области	14	3
36	к сожалению	3	3
37	у нас	11	3
38	смысле этого	2	2
39	том что	29	2
40	но не	3	2
41	в том	36	2
42	не все	3	2
43	по существу	2	2
44	мы не	2	2
45	крайней мере	2	2
46	не в	12	2
47	всех этих	2	2
48	и для	3	2
49	но это	6	2
50	бы и	4	2
51	должна была	4	2
52	должна быть	3	2
53	если бы	9	2
54	литературы и	2	2
55	только в	10	2
56	и с	3	2
57	тем что	5	2
58	сих пор	7	2
59	при таком	2	2
60	материала и	2	2
61	могут быть	5	2
62	даже и	2	2
63	что он	10	2
64	вопроса о	3	2
65	и у	2	2
66	в себе	2	2
67	как раз	4	2
68	до сих	7	2
69	что мы	5	2
70	в конце	3	2
71	на эту	4	2
72	что все	2	2
73	если не	2	2
74	этом отношении	7	2
75	в самом	7	2
76	очевидно не	2	2
77	в сторону	2	2
78	превращается в	2	2
79	ничего не	2	2
80	самом деле	11	2
81	а как	2	2
82	по крайней	2	2
83	что она	4	2
84	что и	6	2
85	в его	9	2
86	более чем	2	2
87	между тем	3	2
88	таким образом	7	2
89	материал для	3	2
