N	2gram	Tiupa_Lite_3	Morfolog
1	может быть	12	52
2	представляет собой	2	17
3	не может	8	17
4	и в	16	13
5	в этом	14	13
6	связи с	2	11
7	прежде всего	3	9
8	не всегда	2	9
9	так и	9	9
10	то же	9	9
11	и не	22	9
12	а не	12	9
13	с другой	6	8
14	а затем	3	8
15	по существу	4	8
16	что и	2	8
17	вопрос о	2	7
18	в качестве	5	7
19	все же	2	7
20	это не	5	6
21	в том	12	6
22	но не	4	6
23	а также	4	6
24	а в	5	6
25	подобно тому	2	6
26	не менее	2	5
27	тому как	3	5
28	вслед за	3	5
29	во всех	2	5
30	далеко не	2	5
31	как бы	8	5
32	один из	2	5
33	то что	12	5
34	потому что	3	5
35	что в	2	4
36	и как	3	4
37	отношению к	4	4
38	было бы	2	4
39	на его	3	4
40	несмотря на	2	4
41	не только	14	4
42	то это	2	4
43	как в	5	4
44	как мы	2	4
45	другой стороны	2	4
46	так же	2	4
47	по отношению	4	4
48	как и	5	4
49	там где	3	4
50	хотя и	4	4
51	тем что	2	4
52	точки зрения	7	4
53	с точки	3	4
54	его в	2	4
55	в иных	3	4
56	если бы	2	3
57	в начале	4	3
58	же в	2	3
59	том что	8	3
60	в целом	5	3
61	того чтобы	2	3
62	как таковое	2	3
63	во втором	2	3
64	в первом	2	3
65	но и	14	3
66	входит в	4	3
67	самом деле	3	3
68	и для	4	3
69	а по	2	3
70	из них	4	3
71	и ее	2	3
72	в то	9	3
73	но в	3	3
74	ни к	3	2
75	в частности	11	2
76	однако в	4	2
77	состоит в	6	2
78	к этому	2	2
79	что он	5	2
80	можно сказать	2	2
81	и к	3	2
82	не с	2	2
83	то в	3	2
84	и при	2	2
85	только в	7	2
86	а на	2	2
87	для него	2	2
88	одной стороны	4	2
89	себя и	2	2
90	оно не	2	2
91	герой в	2	2
92	себя в	7	2
93	и тогда	2	2
94	как например	2	2
95	и только	2	2
96	с одной	4	2
97	и наоборот	2	2
98	не означает	2	2
99	к себе	8	2
100	того что	9	2
101	для того	2	2
102	уже не	3	2
103	право на	2	2
104	и его	6	2
105	в другом	6	2
106	не знает	2	2
107	о том	6	2
108	здесь не	2	2
109	как это	3	2
