N	2gram	Tiupa_Lite_1	Dialekti
1	не есть	2	40
2	и не	12	30
3	и есть	3	19
4	а не	16	18
5	может быть	13	17
6	то что	10	16
7	и в	8	15
8	как бы	7	14
9	точки зрения	6	14
10	того что	6	13
11	это не	4	12
12	прежде всего	11	11
13	в том	16	11
14	не может	5	11
15	в этом	12	11
16	в основе	3	10
17	потому что	3	10
18	том что	14	10
19	было бы	2	9
20	в виду	3	9
21	то же	5	9
22	уже не	7	9
23	с точки	2	9
24	не в	8	8
25	в себе	7	8
26	не только	24	8
27	что в	3	7
28	должна быть	2	7
29	что он	5	7
30	как и	6	7
31	и его	4	7
32	только в	8	7
33	же время	5	6
34	и тем	4	6
35	и даже	3	6
36	тем более	2	6
37	в то	5	6
38	нет ничего	2	6
39	я не	7	5
40	так и	4	5
41	в своем	11	5
42	же это	2	5
43	в сфере	3	5
44	в нем	2	5
45	таким образом	3	5
46	о том	2	5
47	с его	5	5
48	в жизни	6	5
49	субъекта и	3	5
50	что я	2	5
51	в сущности	2	5
52	в себя	2	5
53	что такое	2	5
54	той же	3	5
55	мир и	2	4
56	в этой	4	4
57	один из	3	4
58	жизни и	3	4
59	но и	17	4
60	также и	3	4
61	отнюдь не	2	4
62	не как	4	4
63	с их	3	4
64	еще не	4	4
65	как раз	4	4
66	хотя бы	2	4
67	тому как	2	4
68	в силу	4	4
69	в его	7	4
70	подобно тому	2	4
71	та же	2	3
72	имеется в	2	3
73	на этом	2	3
74	и нет	2	3
75	тем самым	5	3
76	более не	2	3
77	говоря уже	2	3
78	не говоря	2	3
79	в их	3	3
80	все эти	2	3
81	но в	3	3
82	общего с	2	3
83	за пределы	2	3
84	в своей	4	3
85	со стороны	4	3
86	как в	5	3
87	что не	2	3
88	в данном	5	3
89	и то	2	3
90	могут быть	2	3
91	в области	3	3
92	не менее	7	2
93	в частности	15	2
94	с этой	5	2
95	из этих	2	2
96	человека и	2	2
97	и само	2	2
98	да и	3	2
99	это как	2	2
100	в нашей	2	2
101	при этом	19	2
102	в самом	3	2
103	от себя	2	2
104	никогда не	4	2
105	у достоевского	2	2
106	из них	4	2
107	то и	2	2
108	для этого	4	2
109	и только	2	2
110	именно так	2	2
111	не было	3	2
112	этой точки	3	2
113	лишь в	4	2
114	не мог	3	2
115	же и	3	2
116	как это	8	2
117	а как	2	2
118	однако в	2	2
119	все же	4	2
120	или иную	2	2
121	в качестве	17	2
122	ту или	2	2
123	для нее	2	2
124	тем не	2	2
125	себя в	6	2
126	художественное произведение	2	2
127	тех же	3	2
128	бы не	3	2
129	которая не	2	2
130	или иначе	9	2
131	во всяком	3	2
132	тем что	2	2
133	как будто	2	2
134	поскольку он	2	2
135	отличие от	5	2
