N	2gram	Berdyaev_V_1	Literetu
1	и не	20	22
2	и в	16	16
3	в мире	5	16
4	не только	2	14
5	но и	5	14
6	в этом	4	14
7	а не	7	12
8	то что	9	12
9	в том	3	12
10	не в	3	10
11	так и	4	9
12	того что	5	9
13	в жизни	3	8
14	том что	2	8
15	как бы	5	8
16	в своей	3	7
17	только в	2	7
18	с его	3	6
19	к тому	3	6
20	еще не	8	6
21	в его	4	6
22	это не	2	5
23	что он	4	5
24	как и	4	5
25	лишь в	3	5
26	а в	2	5
27	что я	3	5
28	но не	2	4
29	никогда не	3	4
30	и для	3	4
31	хотя и	5	4
32	должно быть	3	4
33	прежде всего	2	3
34	мира в	2	3
35	вслед за	2	3
36	жизни и	3	3
37	бы и	3	3
38	уже не	2	3
39	потому что	4	3
40	но в	3	3
41	между тем	2	3
42	с тобою	3	2
43	что в	3	2
44	оно не	3	2
45	в конце	3	2
46	в нем	4	2
47	для него	2	2
48	и сам	2	2
49	что не	4	2
50	во всех	3	2
51	один из	2	2
52	не с	2	2
53	то это	3	2
54	что и	3	2
55	и тогда	2	2
56	если не	3	2
57	свободы и	12	2
58	того чтобы	2	2
59	я говорю	2	2
60	мы и	2	2
61	тем что	2	2
62	на себя	5	2
63	за ним	3	2
64	и потому	7	2
65	ее в	2	2
