N	2gram	Propp_Isto_5	Narrotol
1	не только	13	32
2	может быть	17	25
3	но и	13	23
4	в качестве	7	21
5	и не	11	20
6	и в	25	19
7	в том	6	18
8	в этом	10	17
9	в частности	7	14
10	том что	8	14
11	не в	6	14
12	а не	2	12
13	представляет собой	7	12
14	то что	7	11
15	а в	3	11
16	не может	6	10
17	точки зрения	2	10
18	со стороны	2	9
19	в его	12	9
20	с другой	9	8
21	героя в	9	8
22	как и	7	7
23	еще не	8	7
24	все же	10	7
25	как в	6	7
26	по отношению	2	7
27	с одной	7	7
28	одной стороны	7	7
29	что он	22	6
30	отношению к	2	6
31	то в	2	6
32	но не	5	6
33	в себя	3	6
34	о том	7	6
35	и как	3	5
36	по себе	2	5
37	можно сказать	2	5
38	себя в	6	5
39	в форме	3	5
40	уже не	11	5
41	к нему	3	5
42	и его	9	5
43	в данном	3	5
44	в этой	3	5
45	перед нами	2	4
46	прежде всего	6	4
47	в нем	7	4
48	у него	2	4
49	то же	4	4
50	же в	2	4
51	но все	5	4
52	если не	4	4
53	связи с	8	4
54	как бы	2	4
55	о нем	3	4
56	и тем	4	4
57	данном случае	2	4
58	другой стороны	8	4
59	в особенности	3	4
60	из которых	2	4
61	сказать что	2	4
62	только в	7	4
63	героя и	3	4
64	и с	3	4
65	не менее	4	3
66	же как	4	3
67	что в	8	3
68	могут быть	6	3
69	никогда не	3	3
70	уже в	2	3
71	в свою	3	3
72	тем не	4	3
73	одна из	2	3
74	на том	3	3
75	в ней	5	3
76	он не	4	3
77	из двух	2	3
78	если в	3	3
79	один из	2	3
80	из них	2	3
81	жизни и	2	3
82	когда он	2	3
83	в ее	4	3
84	на него	8	3
85	а именно	4	3
86	особенно в	2	3
87	как мы	5	3
88	и он	6	3
89	и на	8	3
90	тем что	10	3
91	на себя	3	3
92	в то	3	3
93	что это	5	3
94	после смерти	3	2
95	что у	4	2
96	не как	4	2
97	не всегда	4	2
98	встречается в	3	2
99	ему в	3	2
100	говорит о	2	2
101	по существу	2	2
102	в пределах	4	2
103	она не	2	2
104	несмотря на	2	2
105	например в	5	2
106	наряду с	4	2
107	в роли	3	2
108	и потому	2	2
109	и др	3	2
110	даже в	2	2
111	время в	2	2
112	так же	5	2
113	в связи	4	2
114	все эти	8	2
115	его по	2	2
116	человека в	3	2
117	совершенно не	2	2
118	они не	3	2
119	самом деле	2	2
120	что мы	2	2
121	одним из	2	2
122	и для	2	2
123	это не	6	2
124	роль в	2	2
125	в иной	7	2
126	или в	6	2
127	и все	3	2
128	его в	9	2
129	представляют собой	3	2
130	а если	2	2
131	ничего не	2	2
132	мы имеем	14	2
133	о чем	2	2
