N	2gram	Propp_Isto_7	UchenyiS
1	и в	24	14
2	а не	8	10
3	не только	21	10
4	и не	4	8
5	прежде всего	2	8
6	то что	7	7
7	в этом	12	7
8	не может	14	7
9	может быть	14	6
10	все это	8	5
11	то же	8	5
12	но и	11	4
13	в их	4	4
14	конечно не	2	4
15	с другой	9	4
16	что такое	2	4
17	но в	5	3
18	как и	6	3
19	все же	9	3
20	другой стороны	8	3
21	это не	10	3
22	в то	2	3
23	было бы	2	3
24	но конечно	2	2
25	том что	10	2
26	но не	6	2
27	в том	7	2
28	не все	3	2
29	по существу	4	2
30	мы не	4	2
31	с его	3	2
32	не в	9	2
33	всех этих	6	2
34	но это	3	2
35	не столько	3	2
36	не случайно	3	2
37	только в	6	2
38	тем что	6	2
39	сих пор	3	2
40	что он	21	2
41	и у	2	2
42	до сих	2	2
43	что мы	3	2
44	в конце	3	2
45	если не	4	2
46	в самом	2	2
47	не могут	2	2
48	превращается в	3	2
49	а его	3	2
50	ничего не	5	2
51	что она	5	2
52	что и	8	2
53	на первый	4	2
54	таким образом	7	2
