N	2gram	Tiupa_Disk_2	Vladivir
1	и в	16	31
2	не только	10	24
3	а к	2	22
4	но и	11	19
5	то что	5	18
6	и не	15	17
7	том что	10	14
8	что в	5	14
9	в этом	16	14
10	и с	2	14
11	там же	2	13
12	что он	2	12
13	в его	3	12
14	но в	11	12
15	с его	6	11
16	в том	8	11
17	потому что	4	11
18	о том	4	11
19	и то	4	10
20	также и	3	10
21	он не	3	10
22	никогда не	2	9
23	а в	2	9
24	только в	3	9
25	в то	5	8
26	для него	5	7
27	тут же	2	7
28	и его	3	7
29	к этому	4	6
30	можно сказать	3	6
31	в качестве	16	6
32	того же	2	6
33	может быть	16	6
34	свое время	2	6
35	в котором	3	6
36	так и	9	6
37	не может	9	6
38	то же	6	6
39	а с	5	5
40	все это	2	5
41	в период	4	5
42	не в	3	5
43	со своим	2	5
44	в свое	2	5
45	а также	8	5
46	что и	2	5
47	жизни и	3	5
48	что же	2	5
49	не было	3	5
50	в своих	6	5
51	же время	5	4
52	в своем	5	4
53	же касается	2	4
54	и все	3	4
55	в нем	7	4
56	в себе	19	4
57	как и	16	4
58	и как	3	4
59	в этой	4	4
60	по своей	6	4
61	такого рода	9	4
62	еще в	3	4
63	себя в	6	4
64	в своей	6	4
65	дело в	2	4
66	отнюдь не	6	3
67	с другой	5	3
68	как в	8	3
69	к своему	2	3
70	но не	7	3
71	но это	3	3
72	все же	6	3
73	в целом	2	3
74	отношение к	2	3
75	вместе с	2	3
76	другой стороны	2	3
77	все эти	3	3
78	уже не	3	3
79	и на	5	3
80	к его	4	3
81	здесь не	2	3
82	то есть	12	3
83	но она	3	3
84	место в	2	2
85	не менее	7	2
86	в частности	12	2
87	в них	3	2
88	не столько	3	2
89	указать на	2	2
90	на первый	2	2
91	ни в	7	2
92	еще не	6	2
93	при этом	17	2
94	что на	2	2
95	к жизни	3	2
96	для себя	2	2
97	из них	3	2
98	со стороны	10	2
99	и для	2	2
100	чем не	2	2
101	тем самым	6	2
102	времени в	4	2
103	как на	3	2
104	той же	2	2
105	в результате	2	2
106	пока еще	2	2
107	точки зрения	4	2
108	из этих	3	2
109	того и	2	2
110	и это	2	2
