N	3gram	Potebnia_M_1	Dialekti
1	и т д	4	15
2	с точки зрения	3	9
3	в том что	13	9
4	что иное как	2	8
5	не что иное	2	8
6	по крайней мере	2	7
7	то же время	3	6
8	в то же	3	6
9	не может быть	9	6
10	сама по себе	3	5
11	для того чтобы	2	5
12	субъекта и объекта	4	4
13	само по себе	4	4
14	только тогда когда	4	4
15	подобно тому как	3	4
16	в этом смысле	4	4
17	не в том	4	4
18	свободы и необходимости	3	3
19	и в этом	6	3
20	и той же	3	3
21	одной и той	3	3
22	то и другое	2	2
23	в свою очередь	4	2
24	тем не менее	6	2
25	в сравнении с	2	2
26	потому что мы	2	2
27	мы не имеем	2	2
