N	3gram	Losev_Prob_1	Myshleni
1	в том что	5	17
2	для того чтобы	8	7
3	так же как	2	6
4	можно было бы	2	5
5	тем не менее	18	5
6	в связи с	4	5
7	и того же	2	4
8	во всяком случае	3	4
9	то и другое	2	4
10	одного и того	2	4
11	о том что	5	3
12	с тем что	2	3
13	сами по себе	3	3
14	на то что	8	3
15	с другой стороны	3	3
16	потому что оно	2	2
17	той или иной	4	2
18	и в этом	2	2
19	и то что	2	2
20	только потому что	2	2
21	того или иного	2	2
22	как мы увидим	2	2
23	мы никогда не	3	2
24	то что мы	6	2
25	то что в	3	2
26	не может быть	2	2
27	в этом смысле	6	2
