N	3gram	Bakhtin_Pr_1	Vvedenie
1	в том что	6	12
2	не может быть	4	8
3	в этом смысле	10	8
4	то же время	9	6
5	в самом деле	2	6
6	в то же	9	6
7	до сих пор	2	6
8	и т п	3	5
9	с другой стороны	3	5
10	т е в	2	4
11	в данном случае	2	4
12	не только в	2	4
13	можно было бы	2	4
14	само по себе	3	4
15	в этом отношении	3	4
16	и в этом	5	4
17	во всяком случае	3	4
18	по отношению к	8	4
19	что может быть	2	3
20	но в то	5	3
21	но все же	2	3
22	в конце концов	5	2
23	с точки зрения	13	2
24	в целом ряде	2	2
25	хотя бы и	2	2
26	подобно тому как	3	2
