N	3gram	Losev_Vesc_1	Myshleni
1	с точки зрения	3	21
2	для того чтобы	2	18
3	в том что	4	13
4	не только не	2	9
5	по сравнению с	6	7
6	к тому что	2	6
7	в данном случае	2	5
8	с одной стороны	3	5
9	в самом деле	4	4
10	о том что	4	4
11	на то что	2	4
12	не может быть	6	4
13	и то что	3	3
14	одно и то	4	3
15	то и другое	4	3
16	тем не менее	3	3
17	можно сказать что	3	3
18	в собственном смысле	2	3
19	и то же	4	3
20	содержит в себе	4	3
21	в первом случае	2	3
22	в свою очередь	4	2
23	бы сказать что	2	2
24	в себе в	2	2
25	из того что	2	2
