N	2gram	Savitsky_E_1	Myshleni
1	в том	11	42
2	том что	6	35
3	в процессе	4	27
4	таким образом	2	25
5	в развитии	2	25
6	точки зрения	23	24
7	в этом	12	24
8	в качестве	14	21
9	и в	37	20
10	что в	21	19
11	заключается в	2	18
12	то же	15	16
13	то что	6	15
14	не только	18	15
15	как мы	5	13
16	с другой	7	12
17	в их	11	12
18	потому что	3	12
19	может быть	6	12
20	так же	9	11
21	в его	2	11
22	мы должны	2	11
23	с точки	17	11
24	того что	7	10
25	на основе	2	10
26	в истории	2	10
27	так как	7	10
28	в отношении	32	10
29	мы видим	2	10
30	и то	2	10
31	в себе	9	10
32	только в	9	10
33	и как	2	9
34	одной стороны	8	9
35	но и	14	9
36	другой стороны	2	9
37	с одной	8	9
38	между тем	8	9
39	как это	4	9
40	как и	7	9
41	того же	3	9
42	что и	3	9
43	и не	14	8
44	и тем	3	8
45	и что	2	8
46	в результате	3	8
47	тогда когда	2	8
48	этом смысле	3	8
49	было бы	8	8
50	вместе с	2	8
51	и более	2	7
52	друг с	3	7
53	как бы	6	7
54	этом отношении	3	7
55	с другом	3	7
56	в своей	8	7
57	тем самым	5	7
58	а не	2	7
59	того чтобы	6	7
60	тем что	3	7
61	могут быть	2	7
62	к тому	8	6
63	же как	5	6
64	мы видели	3	6
65	в самом	4	6
66	этот процесс	2	6
67	не может	9	6
68	и на	6	6
69	сказать что	4	6
70	по своей	2	6
71	с тем	3	6
72	в силу	2	6
73	можно было	3	6
74	в частности	5	5
75	никогда не	3	5
76	целый ряд	2	5
77	на то	6	5
78	не является	3	5
79	если бы	2	5
80	между собой	2	5
81	с этим	2	5
82	и к	3	5
83	и того	2	5
84	о том	3	5
85	так и	10	5
86	как в	3	5
87	для того	6	5
88	мы можем	3	5
89	в своем	14	4
90	для нас	4	4
91	из них	3	4
92	и только	3	4
93	этой точки	5	4
94	с этой	6	4
95	и с	2	4
96	по своему	7	4
97	в смысле	9	4
98	по сравнению	2	4
99	во всей	2	4
100	между ними	2	4
101	не в	5	4
102	и для	3	4
103	во всяком	3	4
104	в области	11	4
105	не могут	2	3
106	в этих	2	3
107	в какой	2	3
108	и от	3	3
109	что все	2	3
110	в этой	2	3
111	одной из	5	3
112	всяком случае	3	3
113	со стороны	5	3
114	именно в	4	3
115	и других	2	3
116	в деле	3	3
117	столь же	5	3
118	но в	14	3
119	в процессах	2	3
120	отнюдь не	9	3
121	сравнению с	2	3
122	не означает	2	3
123	и во	2	3
124	идет о	3	3
125	бы в	2	3
126	приводит нас	2	3
127	представляет собой	3	3
128	чем в	4	3
129	но не	5	3
130	совершенно прав	2	3
131	наряду с	2	3
132	только к	2	3
133	когда он	3	3
134	на этот	2	3
135	нас к	2	3
136	в виде	5	3
137	и поэтому	2	3
138	место в	3	2
139	такой же	2	2
140	на всем	4	2
141	должна быть	2	2
142	в другой	2	2
143	все более	9	2
144	по нашему	3	2
145	прежде всего	9	2
146	что на	2	2
147	что если	2	2
148	свою очередь	2	2
149	в свою	3	2
150	что это	2	2
151	вслед за	6	2
152	в ней	4	2
153	к нему	2	2
154	данном случае	2	2
155	относятся к	2	2
156	нашему мнению	2	2
157	или иному	2	2
158	не имеет	4	2
159	а в	2	2
160	вообще не	3	2
161	во многих	4	2
162	также и	7	2
163	новое слово	3	2
164	в данном	3	2
165	но как	2	2
166	что эти	2	2
167	в известном	3	2
168	с более	3	2
169	уже и	3	2
170	к которым	5	2
171	стороны и	6	2
172	в данной	3	2
173	все другие	2	2
174	далеко не	2	2
175	а также	7	2
176	даже в	4	2
177	не есть	2	2
178	в той	5	2
179	тому или	2	2
180	в таком	3	2
181	это значит	2	2
182	в каком	4	2
183	как оно	2	2
