N	2gram	Losev_Dial_3	VLabPisa
1	таким образом	13	27
2	в этом	8	26
3	и в	24	25
4	и т	24	24
5	не только	23	22
6	может быть	13	21
7	хотя бы	4	20
8	и не	27	19
9	т е	48	17
10	не может	19	17
11	в его	2	15
12	т д	23	15
13	прежде всего	8	13
14	в том	5	13
15	в частности	2	12
16	все это	6	12
17	как это	5	12
18	с другой	4	11
19	в силу	3	11
20	из них	3	11
21	не могут	4	10
22	о том	6	10
23	как видим	2	9
24	об этом	6	9
25	что в	7	9
26	для него	4	9
27	но и	9	9
28	то же	6	9
29	все эти	3	8
30	на основании	2	8
31	в своем	3	8
32	другой стороны	2	8
33	могут быть	2	8
34	ни один	2	8
35	из этих	2	7
36	же в	2	7
37	как и	7	7
38	том что	8	7
39	было бы	5	7
40	говорит о	4	7
41	не было	3	7
42	а не	26	7
43	у него	2	6
44	это не	4	6
45	в себе	2	6
46	это и	7	6
47	то что	14	6
48	в нем	3	6
49	в зависимости	2	6
50	так и	5	6
51	и его	5	6
52	их в	2	6
53	в то	5	6
54	тому что	4	5
55	же время	3	5
56	все же	3	5
57	зависимости от	3	5
58	и есть	16	5
59	как бы	3	5
60	в их	2	5
61	сказать что	4	5
62	только в	5	5
63	не в	3	5
64	к тому	4	4
65	никогда не	7	4
66	перед нами	3	4
67	что все	14	4
68	что он	13	4
69	с его	2	4
70	одна из	3	4
71	в самом	7	4
72	как раз	7	4
73	в них	5	4
74	и сводится	3	4
75	утверждать что	6	4
76	и к	5	3
77	и ее	3	3
78	и как	8	3
79	даже и	7	3
80	и от	3	3
81	силу этого	2	3
82	только что	4	3
83	мы знаем	3	3
84	у нас	4	3
85	по существу	2	3
86	утверждает что	3	3
87	но как	2	3
88	как о	4	3
89	или в	2	3
90	с этим	3	3
91	что не	5	3
92	например в	2	3
93	и он	2	3
94	в виду	7	3
95	нет и	4	3
96	что и	6	3
97	жизни и	5	3
98	ее в	2	3
99	именно в	2	3
100	того что	12	3
101	и по	2	3
102	при всем	4	3
103	так же	4	3
104	его не	2	3
105	в слове	3	3
106	можно утверждать	2	3
107	никак не	2	3
108	как на	5	3
109	точки зрения	25	3
110	она не	3	3
111	бы в	2	3
112	говорить не	2	3
113	не менее	11	2
114	зависит от	2	2
115	вот это	3	2
116	я бы	3	2
117	только не	10	2
118	можно ли	5	2
119	из себя	2	2
120	но даже	3	2
121	мира и	3	2
122	и формы	2	2
123	отличается от	8	2
124	и значит	3	2
125	по крайней	5	2
126	вовсе не	13	2
127	по себе	20	2
128	нет никаких	2	2
129	показывает что	2	2
130	только о	3	2
131	или иной	4	2
132	крайней мере	5	2
133	что его	5	2
134	и потому	2	2
135	но не	2	2
136	но для	2	2
137	по одному	2	2
138	еще не	2	2
139	одной стороны	3	2
140	для того	3	2
141	он и	3	2
142	то это	9	2
143	если бы	6	2
144	понимать как	3	2
145	в ней	2	2
146	что она	9	2
147	и даже	13	2
148	не вполне	2	2
149	всяком случае	2	2
150	одному тому	2	2
151	отнюдь не	10	2
152	что для	5	2
153	при помощи	3	2
154	от того	4	2
155	уже по	2	2
156	даже не	6	2
157	а в	2	2
158	в особенности	7	2
159	но то	2	2
160	еще и	2	2
161	с одной	3	2
162	что оно	7	2
163	этой точки	2	2
164	из которых	3	2
165	должны быть	3	2
166	что такое	21	2
167	и для	2	2
168	тому как	4	2
169	в своих	2	2
170	также и	2	2
171	во всяком	2	2
172	хотя и	5	2
173	не о	2	2
174	говорил что	2	2
175	он не	5	2
176	подобно тому	4	2
177	они не	2	2
178	как например	2	2
179	говорить о	4	2
180	что мы	8	2
181	того или	3	2
182	от его	2	2
183	в чем	4	2
184	же как	2	2
185	тогда когда	5	2
186	нет ни	2	2
187	но в	2	2
188	а для	2	2
189	значит что	24	2
190	что нет	4	2
