N	2gram	Propp_Morf_1	FransuaR
1	и в	13	65
2	и др	10	24
3	как бы	3	22
4	и не	12	22
5	вовсе не	4	18
6	в сущности	3	16
7	в том	6	16
8	в этом	14	15
9	но в	2	14
10	прежде всего	9	11
11	не только	4	10
12	но и	4	10
13	так и	6	10
14	все эти	2	10
15	во всех	4	9
16	по своему	2	8
17	и другие	6	8
18	его в	2	7
19	точки зрения	2	7
20	только в	2	7
21	главным образом	4	6
22	том что	4	6
23	все же	7	6
24	как мы	6	6
25	еще не	3	6
26	может быть	52	6
27	на самом	4	6
28	сказать что	2	6
29	так как	16	6
30	нашей работы	2	6
31	связана с	3	5
32	с его	2	5
33	в частности	2	5
34	потому что	3	5
35	и пр	37	5
36	как в	3	5
37	как и	3	5
38	между тем	5	5
39	связи с	10	4
40	это уже	3	4
41	и к	4	4
42	не в	3	4
43	в этой	2	4
44	из них	3	4
45	для нас	2	4
46	во время	6	4
47	входит в	2	4
48	не могут	4	3
49	мы будем	3	3
50	что в	8	3
51	не является	3	3
52	на котором	3	3
53	это не	6	3
54	эти формы	2	3
55	в тех	6	3
56	что он	4	3
57	но все	3	3
58	но это	6	3
59	самом деле	4	3
60	но для	2	3
61	к нему	3	3
62	с точки	2	3
63	то что	8	3
64	и их	2	3
65	не может	14	3
66	в форме	6	3
67	уже не	2	3
68	с другой	8	3
69	друг друга	3	3
70	в других	3	3
71	далеко не	5	3
72	но как	2	3
73	и здесь	5	3
74	ничего не	4	3
75	ни к	2	2
76	но не	4	2
77	к тому	4	2
78	он требует	2	2
79	можно сказать	2	2
80	так например	3	2
81	же в	2	2
82	а затем	4	2
83	мы видим	13	2
84	несмотря на	4	2
85	например в	2	2
86	на его	4	2
87	наряду с	5	2
88	от того	3	2
89	хотя и	3	2
90	он не	3	2
91	в свое	2	2
92	в таких	2	2
93	и для	2	2
94	в целом	3	2
95	в большинстве	3	2
96	в некоторых	3	2
97	на него	3	2
98	приводит к	2	2
99	и этим	5	2
100	того что	3	2
101	что мы	2	2
102	и по	2	2
103	или в	4	2
104	этот вопрос	2	2
105	в этих	13	2
106	могут быть	16	2
107	о том	2	2
108	большинстве случаев	3	2
109	это было	3	2
