N	2gram	Vygotskiy__3	Vvedenie
1	и в	25	32
2	в том	23	31
3	в этом	14	30
4	может быть	13	26
5	том что	20	26
6	не только	6	22
7	для того	7	21
8	того чтобы	8	20
9	таким образом	17	19
10	то что	15	16
11	потому что	6	15
12	так как	12	15
13	не может	6	14
14	в самом	3	13
15	в нем	2	13
16	о том	5	13
17	того что	10	12
18	и не	10	12
19	как на	2	12
20	представляет собой	6	12
21	в его	15	12
22	только в	10	12
23	как мы	8	11
24	ясно что	2	11
25	что в	17	10
26	и как	5	9
27	между тем	3	9
28	этом смысле	2	9
29	по себе	7	9
30	то же	2	9
31	не менее	6	8
32	с другой	6	8
33	тем не	5	8
34	не в	6	8
35	именно в	5	8
36	прежде всего	4	7
37	смысле этого	4	7
38	выводу что	4	7
39	точки зрения	6	7
40	о котором	2	7
41	но не	6	7
42	было бы	10	7
43	все же	6	7
44	к выводу	2	7
45	дело с	3	7
46	можно было	6	7
47	не могут	4	6
48	из этих	4	6
49	смысле слова	2	6
50	один из	6	6
51	но и	4	6
52	все это	6	6
53	в то	4	6
54	его в	3	6
55	как он	3	6
56	с тем	16	6
57	как и	15	6
58	в качестве	12	6
59	и его	2	6
60	этот вопрос	3	6
61	тем что	8	6
62	и это	4	6
63	уже в	7	5
64	в какой	4	5
65	так что	2	5
66	на этот	2	5
67	как бы	10	5
68	в целом	13	5
69	а как	2	5
70	другой стороны	3	5
71	имеет дело	2	5
72	одним из	5	5
73	с их	2	5
74	в которых	3	5
75	сказать что	4	5
76	в них	2	5
77	об этом	2	5
78	по своему	11	5
79	есть и	2	5
80	не есть	3	5
81	вместе с	14	5
82	в течение	2	5
83	могут быть	5	5
84	независимо от	4	4
85	с этой	3	4
86	как уже	6	4
87	одной стороны	5	4
88	всяком случае	4	4
89	в котором	3	4
90	этот процесс	3	4
91	по отношению	3	4
92	этом отношении	3	4
93	с одной	5	4
94	и что	10	4
95	а в	4	4
96	как это	7	4
97	в чисто	2	4
98	мы имеем	4	4
99	как она	3	4
100	от этого	6	4
101	сравнению с	3	4
102	что он	6	4
103	и заключается	2	4
104	еще не	4	4
105	отношению к	2	4
106	по сравнению	4	4
107	в своей	2	4
108	только что	2	4
109	внимание на	2	4
110	в виде	3	4
111	связи между	5	4
112	уже не	2	4
113	и для	2	4
114	речь в	2	4
115	той же	4	4
116	или иначе	2	4
117	и то	2	4
118	во всяком	4	4
119	само по	2	4
120	в себе	2	4
121	и т.д	5	4
122	в изучении	2	3
123	что это	5	3
124	в частности	4	3
125	в этих	2	3
126	раньше чем	2	3
127	в собственном	6	3
128	со всей	2	3
129	к тому	4	3
130	но все	2	3
131	в этой	5	3
132	на этом	3	3
133	что с	4	3
134	при этом	5	3
135	такого рода	2	3
136	известном смысле	2	3
137	хотя и	2	3
138	мы видели	6	3
139	на этой	5	3
140	из них	4	3
141	на том	3	3
142	что она	5	3
143	в своем	4	3
144	все эти	7	3
145	и других	2	3
146	заключается в	9	3
147	так же	17	3
148	и на	6	3
149	в результате	3	3
150	в начале	2	3
151	тогда когда	4	3
152	в известном	4	3
153	если бы	5	3
154	однако в	2	3
155	не как	3	3
156	к этому	3	3
157	с понятием	3	3
158	и к	5	3
159	связи с	9	3
160	в чем	2	3
161	том виде	2	3
162	в одном	2	3
163	а также	2	3
164	как оно	3	3
165	что и	10	3
166	собственном смысле	6	3
167	на основании	11	3
168	в каком	2	3
169	об отношении	2	3
170	в области	7	3
171	в основу	4	2
172	все время	2	2
173	же как	6	2
174	все более	2	2
175	никогда не	4	2
176	тому что	2	2
177	для этого	2	2
178	в отношении	6	2
179	мы называем	2	2
180	или иной	3	2
181	момента в	2	2
182	но это	5	2
183	обе эти	3	2
184	и сам	3	2
185	и той	2	2
186	в ряде	4	2
187	мог бы	4	2
188	значение в	3	2
189	от того	4	2
190	в связи	6	2
191	с помощью	42	2
192	не мог	4	2
193	должно быть	2	2
194	каждый из	2	2
195	виде в	2	2
196	не столько	4	2
197	говорит он	4	2
198	с этим	4	2
199	той или	2	2
200	и здесь	2	2
201	образом по	3	2
202	бы в	2	2
203	так и	5	2
204	могло бы	4	2
205	по признаку	3	2
206	по этому	3	2
207	на котором	2	2
208	состоит в	3	2
209	так называемая	4	2
210	его к	3	2
211	того же	6	2
212	что мы	7	2
213	мы должны	6	2
214	бы с	2	2
215	мы уже	5	2
216	с теми	2	2
217	этого слова	4	2
218	с ней	3	2
219	понятия в	7	2
220	связь между	4	2
221	входит в	5	2
222	того как	3	2
223	одной и	2	2
224	из того	2	2
225	из которых	5	2
226	между ними	3	2
227	мы не	9	2
228	тому как	2	2
229	в силу	6	2
230	мы можем	7	2
231	одна из	2	2
232	не могли	3	2
