N	2gram	Propp_Russ_2	OGranits
1	и в	29	13
2	прежде всего	2	9
3	не может	5	8
4	может быть	13	8
5	и пр	2	7
6	таким образом	6	6
7	не только	10	6
8	то что	5	6
9	как бы	18	6
10	все же	2	5
11	то же	4	4
12	в своей	2	4
13	все это	10	4
14	мы не	6	4
15	было бы	3	4
16	но в	5	4
17	что в	22	3
18	никогда не	2	3
19	но и	8	3
20	в их	2	3
21	вряд ли	2	3
22	и все	4	3
23	здесь мы	2	3
24	в ее	3	3
25	как и	11	3
26	не в	4	3
27	в которой	2	3
28	и то	2	3
29	не столько	2	3
30	с этим	2	3
31	и для	2	3
32	так как	13	3
33	еще в	2	2
34	не менее	2	2
35	с этой	2	2
36	ее в	8	2
37	данном случае	7	2
38	а не	4	2
39	в этот	10	2
40	с другой	2	2
41	в них	4	2
42	а в	9	2
43	с одной	2	2
44	в течение	2	2
45	все эти	3	2
46	на две	2	2
47	как в	7	2
48	не имеет	3	2
49	в г	2	2
50	в том	22	2
51	что иное	2	2
52	так же	4	2
53	том что	22	2
54	в ряд	2	2
55	в своих	2	2
56	в данном	6	2
57	в этом	11	2
58	тем что	3	2
59	между тем	3	2
60	могут быть	2	2
61	при этом	6	2
62	связанные с	2	2
63	и ее	2	2
64	не что	2	2
65	в руках	2	2
66	во всем	2	2
67	одной стороны	2	2
68	в целях	2	2
69	и при	2	2
70	там где	2	2
71	иное как	2	2
72	а также	4	2
