N	2gram	Propp_Isto_3	KFilosof
1	может быть	11	43
2	в его	3	39
3	в нем	9	31
4	не может	4	27
5	и не	12	26
6	по отношению	2	25
7	и в	22	22
8	в котором	2	21
9	отношению к	2	21
10	а не	6	17
11	и его	4	17
12	только в	4	16
13	точки зрения	2	13
14	в этом	17	13
15	ни в	2	12
16	но не	7	12
17	и это	2	12
18	все эти	4	11
19	не в	4	11
20	к нему	5	11
21	в своем	2	10
22	это не	6	10
23	и есть	2	9
24	в целом	3	9
25	но и	12	9
26	и все	3	9
27	для нее	2	9
28	и для	2	9
29	не было	2	8
30	если бы	6	8
31	было бы	3	8
32	жизни и	2	8
33	со стороны	3	8
34	и здесь	7	7
35	вовсе не	2	7
36	что и	9	7
37	то что	7	7
38	я не	3	6
39	в том	9	6
40	но это	3	6
41	отношение к	4	6
42	и действительно	2	6
43	ко мне	2	6
44	совершенно не	2	6
45	он не	5	6
46	уже не	7	6
47	никогда не	3	5
48	то же	6	5
49	но все	2	5
50	не имеет	2	5
51	его в	3	5
52	но в	10	5
53	как и	3	5
54	не только	14	5
55	все же	5	5
56	мы имеем	19	5
57	там где	7	5
58	что в	15	4
59	для нас	4	4
60	здесь мы	5	4
61	при этом	2	4
62	с ними	3	4
63	между тем	2	4
64	в одном	2	4
65	том что	8	4
66	а в	6	4
67	в чем	3	4
68	независимо от	2	3
69	не менее	5	3
70	в свою	4	3
71	не дает	2	3
72	и пр	11	3
73	себе и	2	3
74	я буду	2	3
75	того что	5	3
76	и на	4	3
77	в ней	2	3
78	в то	2	3
79	о том	3	3
80	всех этих	2	3
81	но конечно	2	3
82	от него	2	3
83	еще не	10	3
84	быть и	3	3
85	на самом	2	3
86	что не	2	3
87	тем что	4	3
88	вступает в	3	3
89	могут быть	5	3
90	в другом	2	3
91	здесь не	3	3
92	ничего не	6	3
93	можно ли	3	2
94	его и	4	2
95	прежде всего	3	2
96	вопрос о	2	2
97	тем не	5	2
98	и как	3	2
99	в него	2	2
100	вступить в	3	2
101	потому что	3	2
102	однако что	3	2
103	имеем в	4	2
104	он и	3	2
105	и то	2	2
106	с тем	2	2
107	в жизни	2	2
108	к этому	7	2
109	что он	9	2
110	целом не	2	2
111	в качестве	2	2
112	него и	2	2
113	ли это	2	2
114	но есть	2	2
115	и потому	2	2
116	но этот	2	2
117	и эти	3	2
118	так и	2	2
119	если я	3	2
120	как в	2	2
121	дело с	2	2
122	в виде	2	2
123	если не	2	2
124	еще более	2	2
125	и она	3	2
126	мы здесь	4	2
127	в данном	4	2
128	в этой	5	2
129	его на	2	2
