N	2gram	Tiupa_Narr_2	Mirosoze
1	может быть	10	30
2	не только	26	29
3	и в	13	28
4	не может	8	28
5	но и	15	25
6	а не	17	25
7	он не	5	24
8	в этом	13	20
9	у него	6	17
10	не в	8	16
11	потому что	2	16
12	в ней	2	15
13	в своей	4	15
14	никогда не	6	14
15	в нем	5	13
16	и он	2	12
17	для него	4	11
18	в самом	2	11
19	и не	14	11
20	что в	4	10
21	в своем	6	10
22	в мире	4	10
23	достоевского и	2	10
24	прежде всего	6	10
25	и все	4	10
26	что он	5	10
27	было бы	2	10
28	человек в	3	9
29	но он	2	9
30	в его	6	9
31	и его	3	9
32	но не	3	8
33	в котором	5	8
34	быть может	2	7
35	того что	6	7
36	в конце	4	7
37	но в	6	7
38	в себе	8	7
39	он сам	2	6
40	должна быть	2	6
41	в том	14	6
42	в этой	4	6
43	ведет к	2	6
44	только в	11	6
45	это не	3	5
46	мира и	3	5
47	у нас	2	5
48	как и	4	5
49	то что	8	5
50	в самую	2	5
51	с этой	3	4
52	не к	4	4
53	и по	3	4
54	а в	9	4
55	точки зрения	5	4
56	должен был	2	4
57	один из	3	4
58	к ней	3	4
59	что и	2	4
60	уже не	4	4
61	потому не	2	3
62	мира не	2	3
63	к тому	9	3
64	для нас	2	3
65	в него	2	3
66	не имеет	2	3
67	и мира	4	3
68	то есть	9	3
69	с его	3	3
70	одно из	2	3
71	в жизни	6	3
72	интерес к	2	3
73	в ее	4	3
74	том что	13	3
75	ничего не	6	3
76	на том	3	3
77	себя в	2	3
78	человека есть	2	3
79	хотя бы	2	3
80	все его	4	3
81	место в	5	2
82	по своему	2	2
83	своих героев	2	2
84	в свою	2	2
85	о чем	2	2
86	истории в	4	2
87	себе и	2	2
88	жизни и	4	2
89	по отношению	5	2
90	все эти	3	2
91	и что	2	2
92	сказать что	3	2
93	в начале	2	2
94	по своей	3	2
95	как бы	6	2
96	о том	5	2
97	как он	2	2
98	бы в	2	2
99	с ним	4	2
100	а как	3	2
101	если бы	4	2
102	жизни в	6	2
103	личности в	2	2
104	он лишь	2	2
105	отношению к	5	2
106	к миру	2	2
107	в то	5	2
108	все что	4	2
109	и к	6	2
110	и когда	3	2
111	о нем	3	2
112	все же	6	2
113	как в	5	2
114	в центре	2	2
115	в той	5	2
116	того чтобы	3	2
117	и у	4	2
118	и для	3	2
119	на протяжении	5	2
120	от его	2	2
121	не все	2	2
