N	2gram	Losev_Vesc_1	slovoVRo
1	и в	21	41
2	в нем	2	30
3	и т	19	28
4	во всех	2	17
5	но и	18	16
6	и не	29	16
7	точки зрения	5	16
8	не только	36	16
9	а не	19	15
10	то же	6	14
11	может быть	16	14
12	не может	17	14
13	и его	2	14
14	в то	3	14
15	в сущности	4	13
16	в его	2	13
17	слова и	5	13
18	как бы	12	12
19	в этом	4	12
20	так и	3	11
21	слово в	2	10
22	в той	3	10
23	той или	2	9
24	таким образом	8	9
25	все эти	3	9
26	себя в	10	9
27	слова в	2	8
28	может не	2	8
29	прежде всего	9	8
30	но в	5	8
31	как мы	4	8
32	с точки	3	8
33	или в	2	8
34	не в	5	7
35	и следовательно	7	7
36	с ним	8	7
37	вовсе не	10	7
38	в своей	5	7
39	все же	4	7
40	в слове	2	7
41	во всяком	3	7
42	в отношении	4	6
43	того же	5	6
44	это не	5	6
45	и даже	6	6
46	а в	4	6
47	оно не	3	6
48	только в	14	6
49	с другой	6	5
50	со своим	7	5
51	в самом	9	5
52	всяком случае	2	5
53	все это	5	5
54	т д	19	5
55	в основе	3	5
56	еще более	2	5
57	с другими	8	5
58	перед нами	2	4
59	и от	3	4
60	оно и	4	4
61	кроме того	4	4
62	одной стороны	3	4
63	в ней	12	4
64	один из	3	4
65	с ее	6	4
66	с одной	3	4
67	и формы	2	4
68	и с	8	4
69	и все	5	4
70	языка как	2	4
71	как и	8	4
72	в смысле	12	4
73	еще не	8	4
74	но именно	2	4
75	по преимуществу	2	4
76	и потому	5	4
77	другой стороны	2	4
78	и для	9	4
79	ту же	2	4
80	ничего не	3	4
81	как только	4	3
82	смысла и	5	3
83	есть как	3	3
84	никогда не	2	3
85	хотя бы	6	3
86	к тому	3	3
87	в том	8	3
88	те или	4	3
89	в свою	4	3
90	для него	4	3
91	из них	4	3
92	его и	2	3
93	данном случае	2	3
94	в своем	6	3
95	в разных	4	3
96	того что	8	3
97	вообще не	2	3
98	с ними	3	3
99	также и	6	3
100	в результате	3	3
101	и здесь	4	3
102	от его	2	3
103	о том	6	3
104	его в	2	3
105	в первом	2	3
106	так как	7	3
107	вне себя	2	3
108	у него	2	3
109	и во	3	3
110	с этим	3	3
111	бы ни	2	3
112	в себе	14	3
113	с этой	4	3
114	по существу	2	3
115	она не	4	3
116	и может	2	3
117	было бы	14	3
118	в свое	2	3
119	бы и	5	3
120	в данном	5	3
121	и ее	18	3
122	выражение в	3	3
123	как оно	3	3
124	свою очередь	4	2
125	есть понимание	3	2
126	взаимного понимания	2	2
127	тому что	2	2
128	что все	2	2
129	можно сказать	6	2
130	ни было	4	2
131	для нас	2	2
132	так что	5	2
133	что они	6	2
134	на этом	2	2
135	для того	2	2
136	хотя и	4	2
137	между ними	3	2
138	и тем	3	2
139	зрения и	2	2
140	как к	4	2
141	уже не	9	2
142	должно быть	6	2
143	не из	2	2
144	сказать что	17	2
145	потому что	16	2
146	они как	2	2
147	но он	2	2
148	от всякого	4	2
149	свое выражение	3	2
150	оно может	2	2
151	нисколько не	4	2
152	в котором	3	2
153	перестает быть	3	2
154	первом случае	2	2
155	дело не	2	2
156	в одном	2	2
157	и эти	2	2
158	у нас	7	2
159	том что	8	2
160	не с	7	2
161	мы видим	2	2
162	то в	4	2
163	одна из	5	2
164	но не	5	2
165	не предполагает	4	2
166	одно и	5	2
167	мы уже	3	2
168	совершенно не	5	2
169	как вещь	9	2
170	и о	3	2
171	и самое	2	2
172	с ней	2	2
173	в ее	7	2
174	в последние	2	2
175	как раз	9	2
176	а с	3	2
177	если мы	8	2
178	себя от	2	2
179	только на	3	2
180	и у	3	2
181	и эта	3	2
182	не есть	49	2
183	той же	2	2
184	мы не	6	2
185	можно было	2	2
186	и заставляет	2	2
187	нас в	3	2
188	и то	10	2
189	от этого	2	2
190	быть только	3	2
191	в другом	2	2
