N	2gram	Tiupa_Lite_1	Mirosoze
1	у достоевского	2	42
2	может быть	13	30
3	не только	24	29
4	и в	8	28
5	не может	5	28
6	человеческого духа	2	26
7	но и	17	25
8	а не	16	25
9	в этом	12	20
10	не было	3	18
11	у него	3	17
12	не в	8	16
13	потому что	3	16
14	в своей	4	15
15	и есть	3	14
16	никогда не	4	14
17	человека и	2	14
18	в нем	2	13
19	для него	2	11
20	в самом	3	11
21	и не	12	11
22	что в	3	10
23	в своем	11	10
24	в мире	2	10
25	во имя	2	10
26	прежде всего	11	10
27	что он	5	10
28	было бы	2	10
29	в его	7	9
30	не есть	2	9
31	и его	4	9
32	но не	4	8
33	того что	6	7
34	в конце	4	7
35	но в	3	7
36	нет ничего	2	7
37	в себе	7	7
38	должна быть	2	6
39	в том	16	6
40	в этой	4	6
41	лишь в	4	6
42	ведет к	4	6
43	только в	8	6
44	это не	4	5
45	и я	6	5
46	как и	6	5
47	то что	10	5
48	русской литературы	2	5
49	уже в	5	4
50	с этой	5	4
51	не к	2	4
52	в их	3	4
53	а в	3	4
54	точки зрения	6	4
55	не как	4	4
56	один из	3	4
57	xix века	6	4
58	за пределы	2	4
59	уже не	7	4
60	тем что	2	4
61	о себе	4	3
62	к тому	2	3
63	не мог	3	3
64	мир в	4	3
65	его в	3	3
66	то есть	6	3
67	на этом	2	3
68	с его	5	3
69	для них	2	3
70	одно из	3	3
71	в жизни	6	3
72	с собой	4	3
73	том что	14	3
74	на том	2	3
75	себя в	6	3
76	духовной жизни	4	3
77	хотя бы	2	3
78	с их	3	2
79	и нет	2	2
80	одним из	5	2
81	в виду	3	2
82	жизни и	3	2
83	могут быть	2	2
84	всего в	3	2
85	по отношению	3	2
86	все эти	2	2
87	также и	3	2
88	он и	3	2
89	самого себя	3	2
90	по своей	3	2
91	как бы	7	2
92	о том	2	2
93	как он	2	2
94	в россии	2	2
95	в основе	3	2
96	а как	2	2
97	различие между	2	2
98	отношению к	2	2
99	в то	5	2
100	как будто	2	2
101	века в	3	2
102	так называемый	2	2
103	относится к	2	2
104	еще в	4	2
105	должен быть	2	2
106	все же	4	2
107	не остается	2	2
108	как в	5	2
109	приводит к	3	2
110	бы не	3	2
111	чтобы не	2	2
