N	2gram	Medvedev_F_1	Otkroven
1	и в	24	19
2	но и	7	13
3	и не	20	13
4	в этом	15	12
5	а не	10	11
6	не в	8	11
7	может быть	14	11
8	не только	7	11
9	и все	6	10
10	вопрос о	2	10
11	в нем	14	10
12	никогда не	4	9
13	не было	3	9
14	в самой	2	9
15	прежде всего	22	9
16	лишь в	8	7
17	человек не	3	7
18	до конца	7	7
19	он не	3	7
20	в его	23	7
21	все это	9	6
22	как и	11	6
23	то что	8	5
24	а в	6	5
25	отношение к	3	5
26	в том	6	5
27	для него	3	5
28	в этой	6	5
29	в самом	5	5
30	в россии	3	5
31	с его	4	4
32	т е	34	4
33	только и	4	4
34	в самую	2	4
35	есть лишь	2	4
36	все в	2	4
37	и его	10	4
38	все эти	6	4
39	не может	16	4
40	что в	4	4
41	как художник	2	3
42	это не	2	3
43	и вот	2	3
44	что он	3	3
45	того что	5	3
46	хотя бы	5	3
47	в своих	2	3
48	еще не	6	3
49	и от	7	3
50	и ее	10	3
51	в себе	3	3
52	было бы	6	3
53	когда он	3	3
54	с ним	2	3
55	как бы	6	3
56	все же	3	2
57	что и	2	2
58	не есть	2	2
59	он в	2	2
60	в душе	2	2
61	с тем	2	2
62	в единстве	7	2
63	в истории	4	2
64	всего в	3	2
65	так и	18	2
66	жизни в	2	2
67	в своем	11	2
68	для всякого	2	2
69	как к	3	2
70	по себе	5	2
71	и к	4	2
72	ко всем	2	2
73	должно быть	11	2
74	в ее	8	2
75	его не	2	2
76	в которой	4	2
77	и на	8	2
78	и с	8	2
79	учение о	4	2
80	даже и	2	2
81	на западе	4	2
82	его в	3	2
83	в своей	11	2
84	к этой	4	2
85	ничего не	2	2
86	к ней	2	2
87	но в	5	2
88	и потому	9	2
