N	2gram	Berdyaev_O_1	Problemy
1	из подполья	11	36
2	и в	19	34
3	и не	13	29
4	как бы	3	27
5	что он	3	23
6	в его	7	22
7	может быть	11	19
8	в нем	10	19
9	не может	4	19
10	и все	10	19
11	как и	6	18
12	но в	2	16
13	все это	6	16
14	и его	4	16
15	в этом	12	16
16	и с	2	15
17	прежде всего	9	15
18	он не	7	15
19	к нему	3	14
20	для него	5	13
21	у достоевского	19	13
22	т е	4	12
23	но и	13	12
24	и к	2	12
25	потому что	9	12
26	то что	5	11
27	не только	11	10
28	не в	11	9
29	а не	11	9
30	никогда не	9	8
31	в самом	5	8
32	с ним	3	8
33	что же	2	8
34	и для	2	8
35	в другом	2	8
36	что в	4	7
37	все же	2	7
38	что не	4	7
39	что они	2	6
40	отношение к	5	6
41	что у	2	6
42	и на	2	6
43	с его	4	6
44	от него	7	6
45	так и	2	6
46	в себе	3	6
47	он сам	4	5
48	это не	3	5
49	и от	3	5
50	так что	2	5
51	того что	3	5
52	и вот	3	5
53	лишь в	7	5
54	а в	5	5
55	с тем	2	5
56	что и	2	5
57	хотя бы	3	5
58	что все	2	4
59	у него	22	4
60	как к	2	4
61	все эти	4	4
62	даже и	2	4
63	для достоевского	5	4
64	его в	2	4
65	так как	2	4
66	еще не	3	4
67	героев достоевского	2	4
68	тем что	2	4
69	он в	2	4
70	ничего не	2	4
71	уже в	2	3
72	романах достоевского	3	3
73	в том	5	3
74	совсем не	2	3
75	до конца	7	3
76	хотя и	2	3
77	записок из	5	3
78	достоевского и	5	3
79	должно быть	2	3
80	но он	7	3
81	в романах	4	3
82	по себе	2	3
83	в ее	2	3
84	том что	2	3
85	достоевского нет	2	3
86	ивана карамазова	7	3
87	достоевского в	3	3
88	в своей	2	3
89	и то	2	3
90	в записках	3	3
91	в творчестве	5	3
92	это было	3	3
93	в человеке	9	2
94	не было	9	2
95	в душе	2	2
96	вопрос о	10	2
97	записках из	3	2
98	и мысли	4	2
99	в этот	2	2
100	в своем	2	2
101	о том	3	2
102	сказать что	2	2
103	человек и	4	2
104	в преступлении	4	2
105	было бы	3	2
106	к ней	2	2
107	и потому	2	2
108	ивана и	2	2
109	когда он	3	2
110	и он	8	2
111	в которой	2	2
112	и ее	3	2
113	него и	4	2
114	много раз	2	2
