N	2gram	Vygotskiy__3	Literetu
1	и в	25	19
2	может быть	13	17
3	то же	2	12
4	и не	10	11
5	в том	23	10
6	как и	15	10
7	но и	4	10
8	состоит в	3	9
9	такого рода	2	9
10	не может	6	9
11	в мире	2	9
12	в этом	14	9
13	в то	4	9
14	с другой	6	8
15	не только	6	8
16	том что	20	7
17	то что	15	7
18	так и	5	7
19	с одной	5	7
20	и т.д	5	7
21	слова и	6	7
22	не менее	6	6
23	однако в	2	6
24	в себе	2	6
25	одной стороны	5	6
26	при этом	5	6
27	и на	6	6
28	столь же	7	5
29	одна из	2	5
30	но не	6	5
31	в качестве	12	5
32	он не	4	5
33	вместе с	14	5
34	того что	10	5
35	что в	17	4
36	в частности	4	4
37	в сфере	2	4
38	прежде всего	4	4
39	не в	6	4
40	отнюдь не	4	4
41	того же	6	4
42	но тем	2	4
43	для него	5	4
44	в его	15	4
45	еще в	2	4
46	один из	6	4
47	и других	2	4
48	так что	2	4
49	другой стороны	3	4
50	мы не	9	4
51	по отношению	3	4
52	каждый из	2	4
53	тем что	8	4
54	точки зрения	6	4
55	едва ли	2	4
56	в области	7	4
57	никогда не	4	3
58	в себя	3	3
59	что он	6	3
60	в нем	2	3
61	и как	5	3
62	одним из	5	3
63	но это	5	3
64	в начале	2	3
65	в этой	5	3
66	отношению к	2	3
67	то и	4	3
68	и для	2	3
69	этом отношении	3	3
70	так как	12	3
71	тем самым	2	3
72	тем же	4	3
73	как на	2	3
74	а в	4	3
75	и его	2	3
76	и то	2	3
77	не столько	4	3
78	другого в	2	3
79	на этом	3	2
80	уже в	7	2
81	ни было	2	2
82	к жизни	2	2
83	же как	6	2
84	с тем	16	2
85	могут служить	2	2
86	не является	8	2
87	для этого	2	2
88	в них	2	2
89	в какой	4	2
90	с этой	3	2
91	в одном	2	2
92	в жизни	3	2
93	все еще	2	2
94	как уже	6	2
95	из того	2	2
96	и к	5	2
97	а также	2	2
98	для нас	2	2
99	тем не	5	2
100	все что	2	2
101	тот же	2	2
102	еще не	4	2
103	было бы	10	2
104	и сам	3	2
105	в роли	2	2
106	как бы	10	2
107	если в	3	2
108	перед ним	3	2
109	что и	10	2
110	как он	3	2
111	все же	6	2
112	с ее	5	2
113	же в	2	2
114	в целом	13	2
115	из них	4	2
116	могут быть	5	2
117	и одновременно	2	2
118	и только	2	2
119	той же	4	2
120	но только	3	2
121	уже не	2	2
122	путь к	3	2
123	и что	10	2
124	для того	7	2
125	из которых	5	2
126	не станем	4	2
127	речь в	2	2
128	друг друга	4	2
129	в своих	2	2
130	то в	3	2
131	в результате	3	2
132	потому что	6	2
133	в основе	16	2
134	на себя	2	2
135	но как	3	2
136	о том	5	2
137	представляет собой	6	2
138	тому как	2	2
139	как это	7	2
140	с ним	4	2
141	в него	3	2
142	могло бы	4	2
