N	2gram	Bakhtin_Pr_2	Myslijsy
1	для нас	2	31
2	то есть	4	30
3	и в	43	24
4	может быть	23	23
5	то что	7	20
6	и не	29	19
7	а не	7	18
8	в том	6	18
9	что в	4	16
10	по себе	11	15
11	не только	11	15
12	того же	3	14
13	при этом	6	13
14	было бы	5	13
15	не в	11	13
16	в слове	5	13
17	но не	5	12
18	не может	18	12
19	то же	8	12
20	мы можем	2	12
21	если бы	3	11
22	что и	3	11
23	мы не	4	11
24	только в	4	11
25	таким образом	5	11
26	для него	8	10
27	в себе	5	10
28	так что	5	10
29	как в	2	10
30	так как	4	10
31	вовсе не	5	9
32	в нем	12	9
33	как бы	22	9
34	но и	14	9
35	то и	2	9
36	а в	5	8
37	том что	2	8
38	более или	3	8
39	или менее	3	8
40	в одно	3	8
41	и на	10	8
42	в этом	13	8
43	могут быть	3	8
44	не могут	4	7
45	прежде всего	10	7
46	во всяком	2	7
47	зрения и	3	7
48	во всех	4	7
49	как и	14	7
50	того что	2	7
51	между собою	4	7
52	тем что	3	7
53	с этим	2	7
54	того как	2	7
55	что если	3	6
56	с другой	4	6
57	в одном	12	6
58	не есть	2	6
59	и как	2	6
60	тем не	2	6
61	и т	13	6
62	между тем	3	6
63	в то	7	6
64	этого слова	2	6
65	и только	3	6
66	слова в	12	5
67	уже в	2	5
68	не менее	3	5
69	с ним	3	5
70	по мере	4	5
71	тот же	3	5
72	что не	2	5
73	на то	5	5
74	о том	5	5
75	и их	3	5
76	так и	3	5
77	в них	4	5
78	бы не	2	5
79	бы ни	2	5
80	из них	2	5
81	все же	3	5
82	сам по	5	4
83	во время	4	4
84	в человеке	3	4
85	никогда не	9	4
86	из этих	2	4
87	сознание и	2	4
88	а между	2	4
89	что он	13	4
90	уже не	3	4
91	такой же	3	4
92	одна из	2	4
93	до сих	7	4
94	еще не	9	4
95	должны быть	2	4
96	в самом	7	4
97	время как	2	4
98	в котором	6	4
99	нам кажется	5	4
100	сих пор	7	4
101	и сами	2	4
102	и что	5	4
103	к другому	5	4
104	в таком	2	4
105	как он	2	4
106	там где	4	4
107	так сказать	6	4
108	то время	2	4
109	но в	10	4
110	что это	2	3
111	это не	3	3
112	не как	6	3
113	и все	6	3
114	мы чувствуем	2	3
115	человека и	2	3
116	хотя и	5	3
117	от них	2	3
118	то это	2	3
119	что на	2	3
120	ни было	2	3
121	и при	2	3
122	кажется что	3	3
123	но это	4	3
124	например в	2	3
125	в самой	4	3
126	оно должно	2	3
127	его в	3	3
128	слова и	12	3
129	в целом	2	3
130	на него	3	3
131	в словах	4	3
132	т п	9	3
133	т д	4	3
134	человека в	4	3
135	если мы	2	3
136	эту минуту	3	3
137	тем же	2	3
138	и для	3	3
139	той же	3	3
140	рядом с	5	3
141	нет но	2	3
142	с ними	2	3
143	и то	2	3
144	от одного	2	3
145	далеко не	4	3
146	в этих	6	3
147	в эту	3	3
148	самый предмет	2	2
149	в каждом	11	2
150	но на	2	2
151	этом смысле	2	2
152	а то	2	2
153	и его	8	2
154	что у	2	2
155	превращается в	2	2
156	но он	4	2
157	хотя бы	2	2
158	и это	4	2
159	в жизни	3	2
160	между ними	4	2
161	вопрос о	2	2
162	с его	4	2
163	слова но	2	2
164	что может	2	2
165	сознании и	2	2
166	бы в	5	2
167	у нас	2	2
168	за пределы	3	2
169	но все	2	2
170	все эти	5	2
171	есть в	3	2
172	так же	2	2
173	у него	6	2
174	же время	5	2
175	одно и	2	2
176	в формах	3	2
177	собою и	2	2
178	на предмет	4	2
179	сама по	4	2
180	и следовательно	3	2
181	в его	10	2
182	себя и	3	2
183	с теми	2	2
184	но эти	4	2
185	указывает на	2	2
186	слово как	4	2
187	все это	5	2
188	другой стороны	3	2
189	не во	2	2
190	а с	2	2
191	и они	2	2
192	в себя	3	2
193	самом деле	5	2
194	что такое	2	2
195	должно быть	4	2
196	отношения к	2	2
197	или в	8	2
198	по отношению	5	2
199	и здесь	3	2
200	их в	4	2
201	сказать что	2	2
202	не на	4	2
203	в другом	7	2
204	во всем	3	2
205	может стать	4	2
206	отношении к	2	2
207	слово с	5	2
