N	2gram	Medvedev_F_3	OGranits
1	и в	27	13
2	и его	19	12
3	прежде всего	4	9
4	не может	24	8
5	и не	30	8
6	может быть	25	8
7	и их	5	7
8	точки зрения	16	7
9	и пр	15	7
10	в его	7	7
11	таким образом	18	6
12	не только	9	6
13	социального общения	9	6
14	то что	8	6
15	только в	8	6
16	мы должны	2	6
17	как бы	8	6
18	художественного произведения	7	5
19	все же	6	5
20	с точки	14	5
21	экспрессивная интонация	3	5
22	и эта	3	5
23	но ведь	4	5
24	хотя бы	6	5
25	социальная оценка	19	5
26	в поэзии	3	5
27	в процессе	15	5
28	то же	15	4
29	не является	5	4
30	в своей	6	4
31	все это	7	4
32	в каждом	5	4
33	на фоне	3	4
34	социальной группы	2	4
35	лишь в	9	4
36	мы не	4	4
37	мы можем	4	4
38	материала в	5	4
39	слов и	4	4
40	было бы	6	4
41	но в	6	4
42	произведения как	6	4
43	отношению к	3	3
44	что в	8	3
45	никогда не	5	3
46	но и	10	3
47	материала и	3	3
48	так и	21	3
49	что же	5	3
50	по отношению	3	3
51	не как	2	3
52	и все	8	3
53	превращается в	2	3
54	самом деле	16	3
55	языка как	2	3
56	в ее	4	3
57	да и	4	3
58	как и	14	3
59	не в	12	3
60	за пределы	2	3
61	в пределах	8	3
62	в себе	3	3
63	в искусстве	7	3
64	говорить о	2	3
65	и для	6	3
66	так как	9	3
67	но для	2	3
68	слово в	2	3
69	еще в	3	2
70	не менее	7	2
71	и др	2	2
72	каждый элемент	4	2
73	уже в	4	2
74	и тем	3	2
75	в нем	15	2
76	может иметь	2	2
77	ее в	3	2
78	социальной оценки	12	2
79	в целом	4	2
80	сознания и	2	2
81	данном случае	4	2
82	а не	17	2
83	художественное произведение	11	2
84	в шкловского	2	2
85	произведения является	2	2
86	в отношении	2	2
87	в произведении	3	2
88	говорить об	2	2
89	материал в	4	2
90	может стать	3	2
91	другой стороны	5	2
92	но так	2	2
93	с другой	6	2
94	в языке	2	2
95	от всех	4	2
96	не на	3	2
97	в них	3	2
98	в связи	4	2
99	входит в	8	2
100	истории литературы	6	2
101	социальной оценкой	4	2
102	не касаемся	2	2
103	все эти	6	2
104	вовсе не	28	2
105	те же	3	2
106	роль в	4	2
107	к тому	4	2
108	как в	4	2
109	если бы	12	2
110	литературное произведение	3	2
111	в общем	2	2
112	и социально	2	2
113	оценка и	5	2
114	в том	7	2
115	так же	9	2
116	том что	4	2
117	в зависимости	5	2
118	с помощью	8	2
119	в своих	6	2
120	в данном	6	2
121	произведения но	4	2
122	зависимости от	5	2
123	что они	5	2
124	в этом	18	2
125	от этого	2	2
126	учение о	2	2
127	тем что	5	2
128	между тем	7	2
129	и следовательно	3	2
130	могут быть	4	2
131	при этом	8	2
132	чем же	2	2
133	нуждается в	3	2
134	смысле слова	2	2
135	и ее	6	2
136	более того	6	2
137	литературного произведения	4	2
138	в действительности	9	2
139	кажется что	2	2
140	мы уже	3	2
141	общения и	2	2
142	в целях	2	2
143	слова и	4	2
144	в области	2	2
145	в самом	11	2
146	героя и	2	2
147	имеет место	3	2
148	там где	7	2
149	бы в	6	2
150	данного материала	4	2
151	в ней	5	2
152	и является	4	2
