N	2gram	Losev_Vlad_2	VLabPisa
1	таким образом	3	27
2	в этом	20	26
3	и в	30	25
4	не только	12	22
5	во сне	2	21
6	может быть	7	21
7	хотя бы	3	20
8	и не	18	19
9	не может	9	17
10	в его	11	15
11	в письме	8	14
12	прежде всего	6	13
13	в том	18	13
14	в частности	2	12
15	все это	5	12
16	как это	7	12
17	вот что	4	11
18	письме к	4	10
19	о том	4	10
20	к этому	6	9
21	об этом	6	9
22	что в	12	9
23	для него	9	9
24	но и	8	9
25	то же	4	9
26	все эти	5	8
27	в своем	8	8
28	из этих	3	7
29	в году	24	7
30	же в	2	7
31	как и	5	7
32	том что	12	7
33	было бы	9	7
34	во всех	3	7
35	вместе с	8	7
36	он пишет	2	7
37	не было	10	7
38	а не	7	7
39	у него	19	6
40	это не	2	6
41	в себе	6	6
42	то что	20	6
43	более или	3	6
44	том же	3	6
45	в основном	5	6
46	в нем	4	6
47	так и	5	6
48	или менее	3	6
49	и его	6	6
50	их в	2	6
51	в то	9	6
52	в результате	5	5
53	он же	2	5
54	же время	3	5
55	все же	9	5
56	и при	2	5
57	связи с	8	5
58	и есть	2	5
59	как бы	5	5
60	в их	2	5
61	сказать что	11	5
62	только в	6	5
63	не в	9	5
64	к тому	2	4
65	никогда не	7	4
66	в целом	4	4
67	что он	13	4
68	с его	4	4
69	можно сказать	4	4
70	в своей	5	4
71	в самом	2	4
72	даже в	2	4
73	в них	3	4
74	в связи	8	4
75	в статье	2	4
76	в этой	4	4
77	и к	6	3
78	января года	3	3
79	всех этих	3	3
80	с тем	2	3
81	и как	3	3
82	даже и	3	3
83	и от	2	3
84	в конце	13	3
85	мы знаем	4	3
86	у нас	6	3
87	по существу	3	3
88	мы видели	2	3
89	что пишет	4	3
90	из его	2	3
91	это мы	5	3
92	к н	5	3
93	по поводу	4	3
94	с этим	5	3
95	что не	2	3
96	мая года	2	3
97	и он	4	3
98	в виду	2	3
99	в котором	5	3
100	его в	4	3
101	что и	3	3
102	жизни и	6	3
103	него в	4	3
104	видно из	2	3
105	именно в	4	3
106	того что	5	3
107	и по	2	3
108	так же	4	3
109	его не	2	3
110	в работе	2	3
111	никак не	3	3
112	а вот	2	3
113	точки зрения	7	3
114	она не	2	3
115	не менее	7	2
116	в самых	2	2
117	в стихотворении	2	2
118	он сам	2	2
119	вот это	2	2
120	к с	7	2
121	три года	2	2
122	по крайней	4	2
123	вовсе не	4	2
124	по себе	5	2
125	нет никаких	2	2
126	от июля	2	2
127	за эти	2	2
128	о его	5	2
129	крайней мере	4	2
130	что его	4	2
131	и потому	2	2
132	но не	3	2
133	н н	9	2
134	как у	2	2
135	н ф	5	2
136	и может	2	2
137	для того	2	2
138	он и	3	2
139	о своем	2	2
140	в общем	2	2
141	то это	4	2
142	том чтобы	2	2
143	ни с	2	2
144	в ней	4	2
145	конце концов	3	2
146	и даже	10	2
147	не вполне	2	2
148	всяком случае	6	2
149	что для	2	2
150	с а	4	2
151	между прочим	7	2
152	а в	11	2
153	начиная с	2	2
154	но то	2	2
155	еще и	6	2
156	в течение	5	2
157	заключается в	2	2
158	того чтобы	2	2
159	и для	3	2
160	к этим	2	2
161	можно было	2	2
162	в своих	2	2
163	не столько	3	2
164	также и	6	2
165	июля года	2	2
166	во всяком	6	2
167	также что	2	2
168	хотя и	6	2
169	не о	2	2
170	он не	4	2
171	марта года	4	2
172	к его	2	2
173	будто бы	2	2
174	как он	2	2
175	в чем	2	2
176	в которой	4	2
177	в области	3	2
178	тогда когда	2	2
179	о чем	6	2
180	но в	8	2
