N	2gram	Tiupa_Disk_1	Problema
1	то есть	20	39
2	то что	5	38
3	и не	11	37
4	и в	16	35
5	не есть	2	33
6	сказать что	3	24
7	не только	28	24
8	том что	19	19
9	о том	8	18
10	может быть	17	18
11	в этом	15	17
12	но и	14	16
13	и вообще	2	16
14	такого рода	4	15
15	только в	7	14
16	не менее	2	13
17	и что	2	13
18	потому что	4	13
19	во всяком	2	13
20	не может	9	13
21	в том	23	12
22	того что	3	12
23	также и	3	12
24	хотя бы	3	12
25	что в	4	11
26	прежде всего	11	11
27	и даже	3	11
28	еще не	14	10
29	а не	22	10
30	в данном	5	10
31	в этой	2	9
32	едва ли	2	9
33	для себя	4	9
34	что же	2	9
35	пока еще	6	9
36	уже не	4	8
37	в виду	2	8
38	этого термина	2	8
39	по себе	3	8
40	все же	3	8
41	не является	4	7
42	того или	2	7
43	в его	7	7
44	так и	8	7
45	с другой	10	6
46	можно сказать	5	6
47	о чем	2	6
48	но как	2	6
49	в то	3	6
50	по крайней	2	6
51	же самое	2	6
52	крайней мере	2	6
53	но в	8	6
54	в частности	9	5
55	и без	2	5
56	или иной	5	5
57	тот или	2	5
58	в самом	3	5
59	той или	3	5
60	отнюдь не	8	5
61	данном случае	2	5
62	языка и	2	5
63	с этим	3	5
64	с одной	9	5
65	и на	5	5
66	между собой	2	5
67	и все	2	5
68	как и	16	5
69	связи с	4	5
70	по своему	3	5
71	указывает на	2	5
72	то же	7	5
73	как мы	2	5
74	одной стороны	9	5
75	что не	4	5
76	другой стороны	3	5
77	в себе	7	5
78	будто бы	2	5
79	не говоря	2	4
80	и есть	2	4
81	в своем	6	4
82	и как	6	4
83	есть в	2	4
84	более или	2	4
85	как бы	5	4
86	говоря уже	2	4
87	и тем	2	4
88	таким образом	3	4
89	заключается в	3	4
90	а в	5	4
91	уже о	2	4
92	тем что	3	4
93	что он	4	4
94	стороны и	2	4
95	но не	11	4
96	и о	4	4
97	или менее	2	4
98	разного рода	2	4
99	далеко не	10	4
100	уже в	2	3
101	или даже	2	3
102	к тому	5	3
103	хотя и	2	3
104	один из	3	3
105	в целом	4	3
106	в их	5	3
107	не было	7	3
108	одновременно и	2	3
109	при этом	13	3
110	лишь в	4	3
111	в науке	2	3
112	и по	2	3
113	в своих	3	3
114	в основе	7	3
115	в истории	4	3
116	о котором	2	3
117	требует для	2	3
118	и к	4	3
119	и того	3	3
120	на том	2	3
121	оно не	2	3
122	внимание на	4	3
123	в значительной	2	3
124	тому как	3	3
125	том числе	2	2
126	перед нами	3	2
127	но зато	2	2
128	не в	7	2
129	числе и	2	2
130	что с	2	2
131	в действительности	3	2
132	совпадает с	2	2
133	и др	2	2
134	сводится к	5	2
135	но обязательно	2	2
136	отличается от	2	2
137	имея в	3	2
138	или в	2	2
139	точки зрения	3	2
140	однако это	2	2
141	частности в	2	2
142	это в	2	2
143	в разные	2	2
144	в них	4	2
145	сами по	2	2
146	но при	3	2
147	с понятием	2	2
148	об этом	2	2
149	представляет собой	17	2
150	возможно только	2	2
151	в тех	2	2
152	в качестве	34	2
153	о нем	2	2
154	а также	8	2
155	еще в	3	2
156	что и	3	2
157	во всех	5	2
158	мысли и	2	2
159	свидетельствует о	2	2
160	роль в	7	2
161	подобно тому	2	2
162	и ее	2	2
163	это было	2	2
