N	3gram	Voloshinov_1	KulturaY
1	в том что	3	10
2	можно было бы	2	9
3	с точки зрения	20	8
4	для того чтобы	3	8
5	с другой стороны	5	7
6	в самом деле	9	7
7	во всяком случае	2	5
8	в этом смысле	2	5
9	тем не менее	2	5
10	не может быть	13	4
11	в этом отношении	3	3
12	в связи с	7	3
13	в то же	3	3
14	то же время	3	3
15	в конце концов	3	3
16	можно сказать что	3	2
17	в отличие от	5	2
18	в узком смысле	2	2
19	так же как	2	2
20	в свою очередь	2	2
21	но все же	3	2
22	на этот вопрос	3	2
23	в этом случае	3	2
