N	2gram	Bakhtin_sl_1	Vladivir
1	и в	41	31
2	не только	16	24
3	но и	16	19
4	и не	16	17
5	у него	3	15
6	и даже	6	15
7	том что	2	14
8	в этом	12	14
9	и с	4	14
10	в его	13	12
11	но в	8	12
12	с его	4	11
13	в том	3	11
14	потому что	2	11
15	о том	3	11
16	так что	2	10
17	и то	2	10
18	также и	3	10
19	он не	3	10
20	никогда не	3	9
21	как мы	8	9
22	а в	6	9
23	только в	6	9
24	и по	2	8
25	в то	14	8
26	так как	3	8
27	для него	3	7
28	кроме того	4	7
29	о нем	4	7
30	как раз	2	7
31	и его	14	7
32	сказать что	2	7
33	мы уже	2	7
34	к этому	2	6
35	и к	5	6
36	можно сказать	2	6
37	у нас	2	6
38	в качестве	3	6
39	того же	6	6
40	и потому	4	6
41	и сам	3	6
42	может быть	14	6
43	в котором	2	6
44	так и	11	6
45	не может	14	6
46	то же	14	6
47	а с	2	5
48	все это	5	5
49	вовсе не	7	5
50	не в	7	5
51	со своим	5	5
52	и от	4	5
53	в свое	3	5
54	а также	2	5
55	не было	3	5
56	но он	2	5
57	с ним	7	5
58	же время	12	4
59	в своем	3	4
60	и все	4	4
61	в нем	30	4
62	для нас	2	4
63	в себе	3	4
64	и вообще	2	4
65	как и	4	4
66	мы и	2	4
67	такого рода	2	4
68	хотя и	2	4
69	один из	4	4
70	себя в	9	4
71	в своей	7	4
72	в истории	3	4
73	в особенности	8	4
74	и у	2	4
75	к нему	5	4
76	в которой	4	4
77	к тому	3	3
78	в виде	2	3
79	с другой	5	3
80	как в	8	3
81	к своему	6	3
82	но не	2	3
83	что они	2	3
84	более или	3	3
85	по своему	2	3
86	с этими	2	3
87	ничего не	4	3
88	за пределы	4	3
89	все же	7	3
90	на его	8	3
91	в целом	2	3
92	отношение к	7	3
93	или менее	3	3
94	по своим	6	3
95	только на	2	3
96	другой стороны	4	3
97	в отношении	6	3
98	и речи	2	3
99	таким образом	9	3
100	все эти	9	3
101	уже не	2	3
102	и на	14	3
103	он в	5	3
104	и здесь	3	3
105	здесь не	2	3
106	то есть	26	3
107	нисколько не	2	2
108	время и	2	2
109	в частности	2	2
110	в них	6	2
111	хотя бы	3	2
112	по существу	3	2
113	что все	2	2
114	на все	2	2
115	образом в	3	2
116	на всю	3	2
117	одной из	3	2
118	на этом	2	2
119	не были	3	2
120	к своей	2	2
121	то время	2	2
122	еще не	4	2
123	при этом	6	2
124	того что	3	2
125	было бы	3	2
126	совершенно не	2	2
127	в самом	5	2
128	конечно не	3	2
129	и о	2	2
130	одним из	4	2
131	всяком случае	5	2
132	с которым	2	2
133	даже в	2	2
134	уже сказали	2	2
135	на ту	2	2
136	и т	28	2
137	из них	3	2
138	дело не	2	2
139	из этого	3	2
140	как к	2	2
141	т д	5	2
142	и для	4	2
143	и других	3	2
144	жизнь в	2	2
145	лишь в	4	2
146	для того	2	2
147	и почти	3	2
148	той же	2	2
149	не из	2	2
150	с ними	3	2
151	в результате	3	2
152	во всяком	7	2
153	точки зрения	16	2
154	из этих	3	2
