N	2gram	Vinokur_St_2	VerxiiNi
1	и в	29	26
2	таким образом	10	22
3	с тем	7	18
4	вместе с	7	15
5	в этом	21	15
6	точки зрения	5	13
7	как бы	5	12
8	в том	27	11
9	может быть	2	10
10	не только	19	10
11	и с	4	10
12	связи с	4	9
13	что в	19	9
14	но и	19	9
15	в области	2	9
16	так как	2	9
17	с другой	4	8
18	но не	3	8
19	в общем	3	8
20	и не	9	8
21	как на	9	8
22	том что	27	7
23	но все	7	7
24	из них	3	7
25	то что	11	7
26	а с	3	7
27	потому что	9	7
28	но в	8	7
29	в конце	2	6
30	к тому	10	6
31	и потому	2	6
32	того же	2	6
33	несмотря на	2	6
34	всяком случае	3	6
35	что и	2	6
36	все же	6	6
37	так и	9	6
38	все это	11	6
39	в отношении	2	6
40	все эти	2	6
41	с точки	2	6
42	во всяком	3	6
43	в себе	2	6
44	о том	17	6
45	и к	4	5
46	тому же	3	5
47	до сих	6	5
48	одной из	3	5
49	в его	13	5
50	никогда не	3	5
51	сих пор	5	5
52	или менее	2	5
53	так же	3	5
54	а не	5	5
55	того чтобы	6	5
56	для того	7	5
57	не имеет	2	5
58	более или	2	5
59	должен был	4	4
60	в этих	3	4
61	что он	13	4
62	в нем	4	4
63	очень мало	2	4
64	в самом	7	4
65	в котором	7	4
66	не может	2	4
67	то же	2	4
68	в течение	6	4
69	и что	6	4
70	на этот	2	4
71	и по	3	4
72	во время	2	4
73	он не	9	4
74	в то	2	4
75	только в	2	4
76	в этой	2	4
77	не менее	3	3
78	же как	3	3
79	и другие	2	3
80	что это	3	3
81	если бы	2	3
82	хотя бы	3	3
83	к этому	4	3
84	для него	4	3
85	с самого	3	3
86	так что	3	3
87	и как	2	3
88	в своем	9	3
89	в качестве	5	3
90	случае не	2	3
91	и о	4	3
92	тем не	2	3
93	к сожалению	2	3
94	при этом	2	3
95	но с	4	3
96	в значительной	2	3
97	того что	5	3
98	и даже	3	3
99	в которой	11	3
100	и те	2	3
101	с этой	2	3
102	в результате	2	3
103	на нее	3	3
104	в одном	6	3
105	самого начала	3	2
106	с его	2	2
107	ни было	2	2
108	только не	2	2
109	именно в	4	2
110	в них	2	2
111	в образе	3	2
112	прежде всего	5	2
113	утверждать что	2	2
114	на то	2	2
115	в пользу	3	2
116	а также	2	2
117	и здесь	3	2
118	по существу	2	2
119	то ни	2	2
120	в начале	3	2
121	должна была	2	2
122	что именно	2	2
123	по своему	2	2
124	так например	7	2
125	должно было	3	2
126	не могло	3	2
127	бы то	2	2
128	не к	2	2
129	в процессе	2	2
130	связь с	2	2
131	только что	2	2
132	ни у	3	2
133	особенно в	2	2
134	не было	3	2
135	если не	2	2
136	этом отношении	9	2
137	у всех	2	2
138	и сейчас	3	2
139	одним из	6	2
140	наконец в	3	2
141	его не	3	2
142	из этой	2	2
143	и на	6	2
144	связан с	3	2
145	сказать что	2	2
146	не в	4	2
147	и это	2	2
148	в россии	3	2
149	не потому	2	2
150	в эту	3	2
151	между тем	5	2
152	в виду	7	2
