N	2gram	Losev_Dial_3	Myshleni
1	и в	24	25
2	в том	5	23
3	том что	8	20
4	что в	7	17
5	так же	4	17
6	таким образом	13	17
7	в основе	3	16
8	как и	7	15
9	то что	14	15
10	в его	2	15
11	в этом	8	14
12	может быть	13	13
13	так как	6	12
14	на основании	2	11
15	перед нами	3	10
16	как бы	3	10
17	и не	27	10
18	и что	15	10
19	того что	12	10
20	было бы	5	10
21	что и	6	10
22	только в	5	10
23	мы не	5	9
24	ни в	9	9
25	показывает что	2	8
26	тем что	3	8
27	как мы	2	8
28	все эти	3	7
29	что мы	8	7
30	как это	5	7
31	по себе	20	7
32	для того	3	7
33	не менее	11	6
34	с другой	4	6
35	не в	3	6
36	же как	2	6
37	и у	2	6
38	не может	19	6
39	и на	3	6
40	потому что	7	6
41	что он	13	6
42	в силу	3	6
43	зависимости от	3	6
44	но не	2	6
45	со всеми	2	6
46	не только	23	6
47	все же	3	6
48	точки зрения	25	6
49	все это	6	6
50	так и	5	5
51	именно в	2	5
52	что это	12	5
53	тем не	10	5
54	и как	8	5
55	но это	5	5
56	для него	4	5
57	одной стороны	3	5
58	при этом	2	5
59	что она	9	5
60	с одной	3	5
61	и по	2	5
62	если бы	6	5
63	в зависимости	2	5
64	в понятии	2	5
65	мы уже	3	5
66	и к	5	5
67	о том	6	5
68	из которых	3	5
69	могут быть	2	5
70	не могут	4	4
71	в частности	2	4
72	никогда не	7	4
73	в своем	3	4
74	из этих	2	4
75	прежде всего	8	4
76	на то	3	4
77	в смысле	2	4
78	к тому	4	4
79	мы знаем	3	4
80	всяком случае	2	4
81	время как	4	4
82	отнюдь не	10	4
83	из них	3	4
84	но и	9	4
85	от того	4	4
86	то и	3	4
87	друг друга	3	4
88	а в	2	4
89	сказать что	4	4
90	в то	5	4
91	тогда когда	5	4
92	с этим	3	4
93	и все	6	4
94	нет никаких	2	4
95	что оно	7	4
96	то время	4	4
97	еще не	2	4
98	он не	5	4
99	той же	3	4
100	это значит	24	4
101	во всяком	2	4
102	и это	4	4
103	как с	2	4
104	значит что	24	4
105	ни один	2	4
106	но на	2	3
107	с этой	5	3
108	на этом	2	3
109	в самом	7	3
110	не можем	2	3
111	другой стороны	2	3
112	отличается от	8	3
113	но только	4	3
114	понятия и	2	3
115	их в	2	3
116	во всем	3	3
117	но как	2	3
118	то в	2	3
119	или иной	4	3
120	сами по	3	3
121	не есть	54	3
122	в виде	8	3
123	то же	6	2
124	все время	3	2
125	можно ли	5	2
126	тому что	4	2
127	и от	3	2
128	следовательно не	2	2
129	первый план	4	2
130	этой точки	2	2
131	для нас	2	2
132	так что	8	2
133	мы и	4	2
134	нас к	2	2
135	хотя и	5	2
136	той или	2	2
137	в нем	3	2
138	уже по	2	2
139	для этого	2	2
140	и только	6	2
141	того и	2	2
142	должно быть	3	2
143	как на	5	2
144	может ли	3	2
145	на себя	3	2
146	в своих	2	2
147	и здесь	2	2
148	ни на	3	2
149	того или	3	2
150	бы быть	2	2
151	бы в	2	2
152	в чисто	2	2
153	но они	2	2
154	с его	2	2
155	само по	5	2
156	из нее	2	2
157	в них	5	2
158	на котором	2	2
159	и во	2	2
160	все еще	2	2
161	ясно что	7	2
162	или иного	2	2
163	на первый	4	2
164	об этом	6	2
165	и эти	2	2
166	же в	2	2
167	только потому	2	2
168	в таком	14	2
169	одна из	3	2
170	все что	3	2
171	есть и	12	2
172	и потому	2	2
173	оно не	6	2
174	вопрос об	3	2
175	не будет	3	2
176	только что	4	2
177	из того	2	2
178	уже не	5	2
179	тем самым	3	2
180	и для	2	2
181	и его	5	2
182	у человека	2	2
183	или в	2	2
184	или иначе	2	2
185	тому как	4	2
186	и то	4	2
187	в каком	3	2
188	в себе	2	2
189	в чем	4	2
