N	2gram	Propp_Isto_5	VelikijI
1	и не	11	20
2	и в	25	16
3	то что	7	9
4	так как	11	9
5	еще не	8	8
6	в истории	4	8
7	и потому	2	7
8	а не	2	7
9	человека и	2	6
10	как бы	2	5
11	но и	13	5
12	все это	4	5
13	того что	2	5
14	на себя	3	5
15	что все	4	4
16	в образе	5	4
17	что он	22	4
18	в нем	7	4
19	как и	7	4
20	что мы	2	4
21	потому что	7	4
22	в этом	10	4
23	в ней	5	4
24	и все	3	4
25	в его	12	4
26	если не	4	3
27	что в	8	3
28	в этих	6	3
29	что во	2	3
30	превращается в	7	3
31	в том	6	3
32	не в	6	3
33	но это	7	3
34	всех людей	3	3
35	за ним	4	3
36	и мы	2	3
37	во всех	2	3
38	никогда не	3	3
39	то это	3	3
40	что и	6	3
41	жизни и	2	3
42	в своей	2	3
43	и они	2	3
44	и что	8	3
45	и для	2	3
46	их в	3	3
47	от этого	4	3
48	все эти	8	3
49	что от	2	2
50	тот кто	7	2
51	с тем	8	2
52	его и	2	2
53	это не	6	2
54	прежде всего	6	2
55	ее и	3	2
56	его к	3	2
57	для нас	5	2
58	том что	8	2
59	мы и	2	2
60	по которым	2	2
61	одна из	2	2
62	но не	5	2
63	и сам	2	2
64	того чтобы	3	2
65	не только	13	2
66	один из	2	2
67	но мы	3	2
68	и т	20	2
69	на том	3	2
70	ее в	2	2
71	в форме	3	2
72	т д	18	2
73	тем что	10	2
74	в себя	3	2
75	мы не	5	2
76	уже не	11	2
77	его не	3	2
78	а в	3	2
79	с ним	4	2
80	могут быть	6	2
81	только в	7	2
82	превращаются в	2	2
83	и это	4	2
