N	2gram	Losev_Vlad_1	Analitik
1	не только	24	22
2	и в	31	18
3	как и	4	14
4	так и	6	14
5	в этом	14	14
6	но и	19	13
7	и его	7	13
8	в частности	2	12
9	том что	14	12
10	в качестве	6	12
11	и не	17	12
12	при этом	2	11
13	а в	9	10
14	то есть	3	10
15	может быть	6	9
16	со стороны	2	9
17	что в	14	9
18	в том	11	9
19	с его	11	8
20	со своей	3	8
21	и даже	15	8
22	с другой	3	7
23	но не	3	7
24	в его	12	7
25	как раз	7	7
26	к тому	3	6
27	не в	5	6
28	в начале	3	6
29	для него	7	6
30	еще не	2	6
31	в этой	4	6
32	он не	10	6
33	о том	11	6
34	никогда не	9	5
35	в конце	9	5
36	того же	6	5
37	такого рода	4	5
38	в самом	2	5
39	что и	5	5
40	другой стороны	3	5
41	а а	4	5
42	лишь в	2	5
43	уже не	3	5
44	той же	2	5
45	в результате	2	5
46	не менее	2	4
47	отнюдь не	3	4
48	в своем	4	4
49	что он	12	4
50	можно сказать	6	4
51	и к	6	4
52	и как	4	4
53	себя в	4	4
54	и сам	6	4
55	и а	2	4
56	все же	3	4
57	таким образом	3	4
58	тем самым	2	4
59	и на	3	4
60	уже в	7	3
61	не столько	2	3
62	из этих	2	3
63	к этому	6	3
64	тому же	2	3
65	что они	3	3
66	было бы	2	3
67	же время	4	3
68	указывает на	2	3
69	по поводу	12	3
70	к жизни	2	3
71	в целом	3	3
72	дело не	2	3
73	как в	3	3
74	все это	5	3
75	то же	6	3
76	не было	5	3
77	еще и	7	3
78	в году	30	3
79	по его	2	3
80	ничего не	3	3
81	пока еще	2	3
82	точки зрения	2	3
83	что касается	3	3
84	он и	6	3
85	но как	5	3
86	во всем	4	3
87	в то	8	3
88	жизнь и	3	3
89	здесь не	3	3
90	ответ на	2	3
91	в особенности	4	3
92	едва ли	3	3
93	как это	7	3
94	в ответ	2	2
95	все эти	3	2
96	в них	2	2
97	и от	5	2
98	в жизни	3	2
99	в нем	4	2
100	в тех	2	2
101	о его	2	2
102	несмотря на	4	2
103	тем не	2	2
104	да и	4	2
105	в дальнейшем	8	2
106	с тем	2	2
107	по своему	3	2
108	это и	2	2
109	в общем	3	2
110	совершенно не	2	2
111	на его	3	2
112	нам представляется	3	2
113	хотя и	4	2
114	об этом	7	2
115	и потому	6	2
116	а также	5	2
117	свое время	6	2
118	всяком случае	2	2
119	по своей	4	2
120	только к	3	2
121	даже в	2	2
122	один из	4	2
123	которого он	2	2
124	то что	18	2
125	когда он	5	2
126	вместе с	3	2
127	что она	2	2
128	не может	6	2
129	как к	2	2
130	и вот	3	2
131	о которой	3	2
132	не мог	3	2
133	и он	3	2
134	и по	8	2
135	и для	2	2
136	сказать что	7	2
137	во всяком	2	2
138	в момент	2	2
139	тем что	2	2
140	на себя	3	2
141	в себе	4	2
142	и здесь	3	2
143	что мы	2	2
144	только в	9	2
145	и все	4	2
146	в свое	5	2
147	дело в	4	2
148	но в	12	2
