N	2gram	Berdyaev_N_1	OGranits
1	и в	16	13
2	прежде всего	4	9
3	не может	16	8
4	и не	11	8
5	может быть	7	8
6	и т.п	2	7
7	и пр	3	7
8	не только	5	6
9	то что	4	6
10	хотя бы	2	5
11	в своей	3	4
12	все это	5	4
13	лишь в	6	4
14	мы не	2	4
15	но в	2	4
16	связана с	2	3
17	что в	9	3
18	никогда не	6	3
19	но и	3	3
20	так и	2	3
21	и все	4	3
22	в ее	3	3
23	как и	7	3
24	не в	6	3
25	за пределы	3	3
26	в себе	2	3
27	с этим	2	3
28	и для	4	3
29	но для	2	3
30	не менее	4	2
31	в нем	5	2
32	а не	17	2
33	думать что	2	2
34	другой стороны	2	2
35	с другой	3	2
36	в них	4	2
37	и должно	2	2
38	а в	2	2
39	с одной	2	2
40	все эти	2	2
41	роль в	2	2
42	к тому	3	2
43	и к	5	2
44	как в	3	2
45	не имеет	4	2
46	в том	8	2
47	так же	2	2
48	том что	2	2
49	в этом	7	2
50	могут быть	2	2
51	смысле слова	3	2
52	одной стороны	2	2
53	в ней	5	2
