N	2gram	Bakhtin_Pr_1	slovoVRo
1	и в	38	41
2	в нем	15	30
3	и т	14	28
4	то есть	46	26
5	т п	13	23
6	в романе	4	21
7	могут быть	5	19
8	во всех	11	17
9	но и	9	16
10	и не	42	16
11	точки зрения	8	16
12	языка в	3	16
13	не только	9	16
14	а не	5	15
15	то же	5	14
16	в пределах	6	14
17	может быть	26	14
18	и др	8	14
19	не может	27	14
20	и его	16	14
21	и на	3	14
22	в то	4	14
23	в его	43	13
24	слова и	3	13
25	же время	3	12
26	как бы	22	12
27	в этом	15	12
28	так и	5	11
29	в большинстве	5	10
30	слово в	2	10
31	узком смысле	2	10
32	или иной	2	9
33	той или	2	9
34	таким образом	10	9
35	все эти	5	9
36	себя в	2	9
37	слова в	7	8
38	прежде всего	13	8
39	точка зрения	3	8
40	в особенности	2	8
41	но в	4	8
42	в предмете	4	8
43	как в	4	8
44	как мы	7	8
45	с точки	6	8
46	или в	2	8
47	все они	5	7
48	не в	7	7
49	отношение к	10	7
50	с ним	5	7
51	на фоне	3	7
52	вовсе не	2	7
53	всех его	4	7
54	в своей	7	7
55	все же	6	7
56	в слове	3	7
57	это не	5	6
58	при этом	5	6
59	и даже	3	6
60	а в	6	6
61	большинстве случаев	5	6
62	в плане	7	6
63	в них	5	6
64	оно не	3	6
65	к своему	2	6
66	только в	13	6
67	с другой	7	5
68	и мир	2	5
69	в самом	7	5
70	все это	3	5
71	в основе	5	5
72	подхода к	2	5
73	как его	3	5
74	и к	3	5
75	не на	5	5
76	к нему	10	5
77	с другими	3	5
78	далеко не	5	5
79	и от	3	4
80	в каждом	2	4
81	кроме того	3	4
82	одной стороны	3	4
83	в ней	4	4
84	известной степени	4	4
85	в их	10	4
86	за пределы	12	4
87	с одной	3	4
88	лишь в	2	4
89	оценок и	2	4
90	и наконец	6	4
91	рядом с	5	4
92	языка но	2	4
93	и с	17	4
94	и все	3	4
95	с его	2	4
96	входя в	2	4
97	языка как	2	4
98	как и	7	4
99	здесь в	2	4
100	еще не	7	4
101	том же	2	4
102	и потому	4	4
103	на почве	3	4
104	входит в	8	4
105	язык в	2	4
106	другой стороны	4	4
107	и для	11	4
108	на мир	2	4
109	там где	6	4
110	ничего не	6	4
111	как только	3	3
112	не могут	2	3
113	никогда не	5	3
114	хотя бы	4	3
115	формы и	5	3
116	в том	8	3
117	лишь как	4	3
118	лингвистики и	2	3
119	в свою	2	3
120	нем и	2	3
121	в него	2	3
122	данном случае	4	3
123	в своем	5	3
124	и других	2	3
125	форм и	2	3
126	того что	2	3
127	как такового	3	3
128	вообще не	7	3
129	в других	4	3
130	с ними	4	3
131	также и	3	3
132	а иногда	2	3
133	и здесь	2	3
134	не было	2	3
135	в истории	2	3
136	о том	4	3
137	его в	9	3
138	произведения как	8	3
139	вне себя	4	3
140	и во	2	3
141	но здесь	3	3
142	единство и	2	3
143	в себе	4	3
144	по существу	2	3
145	она не	2	3
146	было бы	8	3
147	одной из	3	3
148	конечно не	5	3
149	он не	3	3
150	момент его	2	3
151	и этим	6	3
152	в данном	4	3
153	более того	4	3
154	и ее	2	3
155	в поэзии	9	3
156	в частности	2	2
157	столь же	2	2
158	что все	2	2
159	для понимания	2	2
160	можно сказать	2	2
161	и проч	28	2
162	войти в	2	2
163	ни было	3	2
164	его как	3	2
165	в известной	3	2
166	на этом	2	2
167	смысле слова	2	2
168	от чисто	2	2
169	например в	3	2
170	это отношение	2	2
171	для того	2	2
172	хотя и	3	2
173	между ними	4	2
174	зрения самого	2	2
175	и тем	3	2
176	в целом	3	2
177	в этих	2	2
178	как к	2	2
179	имеет дело	9	2
180	произведения и	2	2
181	должно быть	5	2
182	и те	2	2
183	и социальное	2	2
184	конечно и	4	2
185	сказать что	4	2
186	того или	2	2
187	между тем	7	2
188	оно может	2	2
189	не является	3	2
190	оно было	2	2
191	а как	3	2
192	в котором	2	2
193	перестает быть	4	2
194	он может	2	2
195	не его	2	2
196	к этому	2	2
197	связь с	3	2
198	или иного	2	2
199	у нас	2	2
200	на единство	2	2
201	том что	3	2
202	не с	4	2
203	одна из	2	2
204	но не	12	2
205	каждый момент	4	2
206	лучшем случае	2	2
207	совершенно не	7	2
208	предмета и	2	2
209	как вещь	4	2
210	и о	5	2
211	в ее	4	2
212	нами в	2	2
213	на самом	4	2
214	всех своих	2	2
215	и у	2	2
216	и эта	2	2
217	не есть	6	2
218	в лучшем	2	2
219	можно было	4	2
220	композиционная форма	4	2
221	быть только	5	2
222	в виде	2	2
223	в другом	2	2
224	связи с	2	2
225	и вообще	2	2
226	в единство	2	2
227	здесь не	4	2
