N	3gram	Potebnia_M_3	Dialekti
1	и т д	3	15
2	по крайней мере	5	9
3	сама по себе	2	7
4	не есть ни	4	6
5	в том что	16	6
6	то же время	5	4
7	в том смысле	3	4
8	одно и то	5	4
9	и то же	5	4
10	с другой стороны	4	4
11	только тогда когда	7	4
12	в то время	4	3
13	сам по себе	5	3
14	и может быть	2	3
15	в таком случае	2	3
16	в то же	5	3
17	можно сказать что	2	3
18	не может быть	3	3
19	нельзя сказать что	2	2
20	более или менее	3	2
21	не только в	4	2
22	как бы ни	2	2
23	не могут быть	2	2
24	тем не менее	3	2
25	и т п	2	2
26	само по себе	3	2
27	может быть только	3	2
28	до сих пор	3	2
29	от того что	5	2
30	потому что он	3	2
