N	2gram	Bakhtin_fo_2	Problema
1	то есть	10	39
2	то что	7	38
3	и не	9	37
4	вовсе не	13	37
5	и в	46	35
6	не только	11	24
7	том что	4	19
8	о том	4	18
9	может быть	7	18
10	у нас	2	18
11	в этом	22	17
12	но и	9	16
13	только в	11	14
14	потому что	8	13
15	во всяком	2	13
16	не может	2	13
17	в том	10	12
18	того что	3	12
19	также и	4	12
20	что в	5	11
21	прежде всего	14	11
22	так что	4	11
23	и даже	3	11
24	и с	6	10
25	говорить о	2	10
26	тем более	3	10
27	еще не	6	10
28	а не	4	10
29	в данном	2	10
30	в этой	2	9
31	уже не	3	8
32	было бы	2	8
33	в виду	3	8
34	значение и	4	8
35	по себе	2	8
36	все же	6	8
37	в конце	2	7
38	этом случае	2	7
39	совсем не	2	7
40	смысле слова	2	7
41	не является	3	7
42	все эти	5	7
43	в его	8	7
44	так и	7	7
45	так как	6	7
46	с другой	2	6
47	что все	2	6
48	можно сказать	2	6
49	но это	2	6
50	о чем	3	6
51	и т	14	6
52	т д	3	6
53	в то	5	6
54	же самое	3	6
55	и для	9	6
56	но в	10	6
57	в частности	5	5
58	представление о	2	5
59	или иной	2	5
60	кроме того	3	5
61	отнюдь не	4	5
62	в связи	8	5
63	с этим	5	5
64	с одной	2	5
65	так же	2	5
66	и на	7	5
67	и более	2	5
68	и все	6	5
69	как и	8	5
70	связи с	8	5
71	по своему	2	5
72	то же	8	5
73	как мы	6	5
74	в себе	4	5
75	и это	2	5
76	не был	2	4
77	и есть	2	4
78	в этих	3	4
79	в своем	5	4
80	в отношении	2	4
81	что на	3	4
82	без всякого	2	4
83	и как	3	4
84	это значит	3	4
85	как бы	10	4
86	все это	6	4
87	и только	2	4
88	таким образом	3	4
89	а в	3	4
90	их в	4	4
91	тем что	3	4
92	всех этих	7	4
93	что он	3	4
94	на первый	3	4
95	самое время	3	4
96	но не	5	4
97	до сих	2	4
98	тот же	3	4
99	и о	2	4
100	сих пор	2	4
101	и самый	2	4
102	если не	2	4
103	которой он	2	4
104	далеко не	2	4
105	слова и	3	4
106	значит что	2	4
107	уже в	4	3
108	и от	2	3
109	из этих	4	3
110	первый план	2	3
111	к тому	3	3
112	но эта	2	3
113	что они	4	3
114	мы еще	3	3
115	хотя и	3	3
116	мы уже	9	3
117	только один	2	3
118	один из	2	3
119	и их	4	3
120	в их	3	3
121	не было	3	3
122	при этом	6	3
123	здесь мы	3	3
124	лишь в	2	3
125	и наконец	6	3
126	и по	3	3
127	не знает	2	3
128	в основе	6	3
129	в истории	4	3
130	его в	6	3
131	с тем	2	3
132	перестает быть	2	3
133	и к	2	3
134	все что	2	3
135	она не	2	3
136	нет и	3	3
137	для того	8	3
138	смысла и	2	2
139	том числе	3	2
140	в той	2	2
141	не в	9	2
142	числе и	2	2
143	и др	5	2
144	вещи и	2	2
145	друг от	2	2
146	должно быть	5	2
147	столько же	2	2
148	как на	2	2
149	каждый из	2	2
150	точки зрения	10	2
151	имеем в	3	2
152	во все	2	2
153	в них	7	2
154	сами по	2	2
155	человек не	2	2
156	пространстве и	4	2
157	в качестве	3	2
158	от друга	2	2
159	в корне	2	2
160	конечно не	4	2
161	в заключение	2	2
162	он не	5	2
163	а также	3	2
164	и времени	6	2
165	что и	3	2
166	во всех	11	2
167	вместе с	9	2
168	быть и	2	2
169	и прежде	3	2
170	еще более	4	2
171	того чтобы	8	2
172	роль в	3	2
173	из самых	2	2
174	здесь не	2	2
