N	2gram	Losev_Dial_3	EvropaiC
1	таким образом	13	32
2	в том	5	31
3	и в	24	24
4	том что	8	20
5	все эти	3	19
6	не может	19	18
7	то что	14	17
8	может быть	13	15
9	все же	3	15
10	точки зрения	25	13
11	в своем	3	12
12	самом деле	6	12
13	в этом	8	12
14	все это	6	11
15	с этим	3	11
16	мы знаем	3	10
17	как бы	3	10
18	из себя	2	10
19	все что	3	10
20	так и	5	10
21	на то	3	9
22	при этом	2	9
23	как и	7	9
24	что в	7	9
25	не в	3	8
26	в самом	7	8
27	так же	4	8
28	если бы	6	8
29	и все	6	8
30	ясно что	7	8
31	с точки	14	8
32	не менее	11	7
33	для этого	2	7
34	к тому	4	7
35	но и	9	7
36	и не	27	7
37	и что	15	7
38	из этих	2	7
39	о том	6	7
40	что он	13	7
41	по существу	2	7
42	в силу	3	7
43	для того	3	7
44	из этого	2	7
45	должна быть	6	6
46	с другой	4	6
47	так что	8	6
48	несмотря на	2	6
49	отличается от	8	6
50	того что	12	6
51	как на	5	6
52	и на	3	6
53	так как	6	6
54	начало и	2	6
55	еще не	2	6
56	что и	6	6
57	только в	5	6
58	именно в	2	5
59	что это	12	5
60	и без	3	5
61	и от	3	5
62	что все	14	5
63	тому же	2	5
64	у него	2	5
65	основано на	2	5
66	другой стороны	2	5
67	и с	6	5
68	потому что	7	5
69	но в	2	5
70	ничем не	7	5
71	и к	5	5
72	в то	5	5
73	и если	2	5
74	в его	2	5
75	не только	23	5
76	не будет	3	5
77	быть и	3	5
78	и для	2	5
79	в себе	2	5
80	не могут	4	4
81	никогда не	7	4
82	из того	2	4
83	тем не	10	4
84	что его	5	4
85	это есть	8	4
86	хотя и	5	4
87	из них	3	4
88	в их	2	4
89	то ясно	3	4
90	должно быть	3	4
91	и то	4	4
92	ни один	2	4
93	мы уже	3	4
94	он не	5	4
95	не есть	54	4
96	совершенно не	2	4
97	то же	6	4
98	из которых	3	4
99	и у	2	4
100	хотя бы	4	4
101	в таком	14	4
102	в виде	8	4
103	что их	2	3
104	же как	2	3
105	с одной	3	3
106	но даже	3	3
107	вопрос о	5	3
108	для нас	2	3
109	уже и	3	3
110	по одному	2	3
111	не вполне	2	3
112	так или	2	3
113	в нем	3	3
114	от того	4	3
115	целый ряд	2	3
116	что оно	7	3
117	и по	2	3
118	а в	2	3
119	это не	4	3
120	в истории	4	3
121	что мы	8	3
122	при помощи	3	3
123	и потому	2	3
124	бы в	2	3
125	прежде всего	8	3
126	у нас	4	3
127	во всем	3	3
128	конечно не	4	3
129	что если	2	3
130	только что	4	3
131	даже если	2	3
132	жизнь и	4	3
133	должны быть	3	3
134	или иначе	2	3
135	в данном	2	3
136	тем более	3	3
137	и вообще	2	3
138	и это	4	3
139	но на	2	2
140	в частности	2	2
141	можно ли	5	2
142	себя и	2	2
143	двух или	2	2
144	тому что	4	2
145	что у	2	2
146	и говорить	2	2
147	с этой	5	2
148	как мы	2	2
149	для него	4	2
150	мы и	4	2
151	на этом	2	2
152	же время	3	2
153	одной стороны	3	2
154	к нему	3	2
155	от себя	4	2
156	но для	2	2
157	в ней	2	2
158	но если	6	2
159	в виду	7	2
160	всяком случае	2	2
161	и уже	2	2
162	бы то	2	2
163	другими словами	7	2
164	вопросе о	2	2
165	что она	9	2
166	то и	3	2
167	что для	5	2
168	они не	2	2
169	одно из	5	2
170	но как	2	2
171	говорить о	4	2
172	не было	3	2
173	также и	2	2
174	во всяком	2	2
175	а для	2	2
176	в основе	3	2
177	говорить что	4	2
178	только не	10	2
179	отнюдь не	10	2
180	из нее	2	2
181	в них	5	2
182	он должен	3	2
183	тогда когда	5	2
184	чтобы быть	4	2
185	вовсе не	13	2
186	на первый	4	2
187	при условии	3	2
188	только тогда	3	2
189	то в	2	2
190	так чтобы	2	2
191	в вопросе	2	2
192	одна из	3	2
193	но не	2	2
194	она не	3	2
195	было бы	5	2
196	жизни и	5	2
197	никто не	2	2
198	в сущности	10	2
199	во внимание	2	2
200	только одно	2	2
201	очень мало	2	2
202	как не	2	2
203	что же	11	2
204	тем самым	3	2
205	меньше чем	2	2
206	и где	2	2
207	и ее	3	2
208	не знает	3	2
209	если же	8	2
210	есть в	3	2
211	и только	6	2
