N	3gram	Bakhtin_sl_1	EvropaiE
1	с точки зрения	8	16
2	в то же	12	15
3	то же время	12	14
4	в отношении к	6	12
5	и в то	5	8
6	с одной стороны	4	8
7	той или иной	9	4
8	и в этом	2	4
9	не только в	2	4
10	того или иного	2	4
11	в известной степени	2	3
12	в той или	9	3
13	как бы ни	2	3
14	можно было бы	2	3
15	хотя бы и	3	3
16	во всяком случае	5	3
17	в известном смысле	2	3
18	друг с другом	2	3
19	в свою очередь	2	2
20	так и в	3	2
21	в большинстве случаев	6	2
22	в данном случае	3	2
23	с другой стороны	4	2
24	но в то	4	2
