N	2gram	Tiupa_Vved_1	VrazhdaK
1	не только	20	9
2	в этом	21	8
3	и в	13	8
4	но и	19	7
5	что в	3	7
6	то что	6	7
7	и все	4	7
8	в котором	8	6
9	в нем	5	6
10	все же	6	6
11	в романе	6	6
12	как и	11	6
13	в начале	3	6
14	но в	6	6
15	и с	2	6
16	то же	5	5
17	не было	2	5
18	и не	12	5
19	об этом	4	5
20	в то	4	5
21	же время	3	5
22	для нас	2	4
23	как бы	4	4
24	целый ряд	2	4
25	это не	6	4
26	с ним	3	4
27	в своих	2	4
28	может быть	18	4
29	при этом	26	4
30	о том	5	4
31	в ней	4	4
32	в этот	2	3
33	в своем	5	3
34	к этому	2	3
35	в том	10	3
36	и его	5	3
37	том что	7	3
38	тем что	2	3
39	в его	4	3
40	далеко не	4	3
41	наряду с	2	3
42	одним из	5	3
43	он не	3	3
44	и т.п	9	2
45	место в	2	2
46	его с	2	2
47	а с	2	2
48	в своей	5	2
49	не менее	4	2
50	никогда не	4	2
51	отнюдь не	7	2
52	в них	2	2
53	как раз	2	2
54	так в	4	2
55	не может	7	2
56	а в	6	2
57	тогда как	10	2
58	таким образом	4	2
59	начиная с	3	2
60	но это	3	2
61	о которой	2	2
62	в той	4	2
63	уже не	5	2
64	их в	2	2
65	в свою	4	2
66	в себе	5	2
67	отношение к	2	2
68	для него	3	2
69	еще не	7	2
70	о чем	2	2
71	в мире	8	2
72	одна из	4	2
73	к ним	2	2
74	нашего времени	2	2
75	а также	8	2
