N	3gram	Losev_Prob_2	Dialekti
1	и т д	6	15
2	по крайней мере	6	9
3	это значит что	3	8
4	сама по себе	4	7
5	не есть ни	3	6
6	в том что	4	6
7	то или иное	2	4
8	о том что	14	4
9	только то что	3	4
10	с другой стороны	5	4
11	только тогда когда	3	4
12	все на свете	3	4
13	в связи с	5	4
14	как будто бы	5	3
15	в самом деле	2	3
16	не есть только	4	3
17	той или другой	4	3
18	в таком случае	10	3
19	ни в каком	4	3
20	может быть и	2	3
21	в то же	4	3
22	что иное как	3	3
23	сами по себе	2	3
24	можно сказать что	3	3
25	не что иное	3	3
26	содержит в себе	2	3
27	не может быть	3	3
28	имеется в виду	2	2
29	с самого начала	2	2
30	и в частности	3	2
31	вовсе не есть	10	2
32	в данном случае	5	2
33	та или иная	2	2
34	в каком-то смысле	3	2
35	более или менее	4	2
36	не только в	2	2
37	то же самое	5	2
38	тех или других	3	2
39	в каком случае	3	2
40	как же это	3	2
41	тем не менее	12	2
42	или по крайней	3	2
43	само по себе	2	2
44	может быть только	2	2
45	ведь мы же	2	2
46	не говоря уже	4	2
47	есть не что	3	2
48	до сих пор	4	2
49	во всяком случае	10	2
50	говоря уже о	4	2
51	и прежде всего	2	2
52	крайней мере в	2	2
53	так или иначе	6	2
