N	2gram	Tiupa_Disk_2	Morfolog
1	может быть	16	52
2	представляет собой	11	17
3	не может	9	17
4	в этих	3	16
5	могут быть	3	15
6	и в	16	13
7	в этом	16	13
8	перед нами	3	11
9	прежде всего	7	9
10	этом случае	2	9
11	так и	9	9
12	то же	6	9
13	и не	15	9
14	а не	14	9
15	мы имеем	2	9
16	с другой	5	8
17	что и	2	8
18	в результате	2	8
19	в качестве	16	7
20	все же	6	7
21	это не	3	6
22	в том	8	6
23	но не	7	6
24	а также	8	6
25	а в	2	6
26	подобно тому	2	6
27	не менее	7	5
28	тому как	2	5
29	в ходе	2	5
30	далеко не	2	5
31	как бы	4	5
32	то что	5	5
33	потому что	4	5
34	что в	5	4
35	и как	3	4
36	героя в	5	4
37	отношению к	4	4
38	не только	10	4
39	как в	8	4
40	другой стороны	2	4
41	по отношению	4	4
42	как и	16	4
43	точки зрения	4	4
44	с точки	2	4
45	также и	3	4
46	его в	3	4
47	том что	10	3
48	но это	3	3
49	в целом	2	3
50	в пределах	4	3
51	он не	3	3
52	не является	4	3
53	ни в	7	3
54	но и	11	3
55	входит в	2	3
56	и для	2	3
57	можно назвать	4	3
58	из них	3	3
59	и ее	3	3
60	в то	5	3
61	но в	11	3
62	ни к	5	2
63	что ни	2	2
64	обоих случаях	2	2
65	в частности	12	2
66	состоит в	16	2
67	к этому	4	2
68	как уже	2	2
69	что он	2	2
70	можно сказать	3	2
71	на первый	2	2
72	не с	2	2
73	только в	3	2
74	в большинстве	2	2
75	момент в	2	2
76	для него	5	2
77	одной стороны	4	2
78	первый взгляд	2	2
79	в обоих	2	2
80	из двух	3	2
81	себя в	6	2
82	за которым	2	2
83	а с	5	2
84	с одной	4	2
85	все эти	3	2
86	уже не	3	2
87	и его	3	2
88	в другом	3	2
89	не знает	3	2
90	или по	2	2
91	о том	4	2
92	в свое	2	2
93	здесь не	2	2
94	но здесь	2	2
