N	2gram	Tiupa_Anal_2	Komedia
1	и в	16	22
2	т е	2	13
3	том что	12	12
4	в том	12	11
5	но и	12	11
6	не только	16	10
7	из них	3	10
8	в то	2	10
9	как и	14	9
10	может быть	6	9
11	в одном	2	8
12	таким образом	2	8
13	и не	12	8
14	и его	4	8
15	о том	7	8
16	едва ли	3	7
17	в этой	9	7
18	что в	2	6
19	в конце	4	6
20	одного из	3	6
21	к тому	7	6
22	тому же	4	6
23	такого рода	2	6
24	то же	4	6
25	не в	4	6
26	а в	3	6
27	с другой	6	5
28	прежде всего	3	5
29	при этом	10	5
30	со своим	3	5
31	в его	2	5
32	еще в	2	5
33	один из	2	5
34	на его	3	5
35	так и	15	5
36	как в	4	5
37	все это	4	5
38	другой стороны	2	5
39	и даже	9	5
40	между тем	2	5
41	именно в	3	4
42	в их	3	4
43	к этому	2	4
44	по поводу	3	4
45	несмотря на	3	4
46	как мы	3	4
47	на протяжении	2	4
48	в качестве	11	4
49	же время	2	4
50	а также	7	4
51	в котором	2	4
52	и особенно	4	4
53	что и	3	4
54	на него	2	4
55	тем что	3	4
56	в результате	3	4
57	точки зрения	4	4
58	из его	2	4
59	ли не	2	4
60	но в	6	4
61	место в	3	3
62	казалось бы	3	3
63	не менее	4	3
64	и одновременно	3	3
65	на то	2	3
66	перед лицом	2	3
67	здесь в	2	3
68	одной стороны	4	3
69	и сам	3	3
70	во второй	4	3
71	одной из	3	3
72	в частности	16	3
73	у него	4	3
74	хотя и	4	3
75	он не	2	3
76	речь идет	2	3
77	даже в	2	3
78	отношению к	4	3
79	в целом	8	3
80	всего в	2	3
81	так же	2	3
82	по отношению	4	3
83	этом отношении	3	3
84	с одной	5	3
85	не мог	3	3
86	как раз	4	3
87	и на	6	3
88	в этом	18	3
89	могут быть	10	3
90	только в	4	3
91	как правило	4	3
92	и все	3	3
93	его в	2	3
94	как это	6	3
95	ничего не	9	3
96	в сознании	4	3
97	в противоположность	2	2
98	в рамках	3	2
99	для всех	2	2
100	за пределы	4	2
101	в состоянии	2	2
102	столь же	4	2
103	и во	2	2
104	вовсе не	2	2
105	тем не	3	2
106	он был	2	2
107	должна была	2	2
108	на этом	4	2
109	но не	4	2
110	а то	2	2
111	того же	4	2
112	в себя	4	2
113	еще не	2	2
114	было бы	3	2
115	в действительности	3	2
116	в самом	6	2
117	на две	3	2
118	и тем	4	2
119	с ее	2	2
120	то что	7	2
121	в первой	3	2
122	вместе с	2	2
123	все что	2	2
124	со стороны	3	2
125	вслед за	2	2
126	в сущности	4	2
127	не может	4	2
128	или в	3	2
129	не следует	2	2
130	одну из	2	2
131	что касается	3	2
132	на себя	5	2
133	в себе	7	2
134	в споре	2	2
135	как будто	3	2
136	отличие от	2	2
