N	2gram	Tiupa_Anal_2	Myshleni
1	в том	12	33
2	том что	12	27
3	точки зрения	4	26
4	то что	7	20
5	в этом	18	19
6	с точки	2	18
7	того что	2	17
8	и в	16	15
9	не только	16	15
10	речи и	2	15
11	что в	2	14
12	таким образом	2	14
13	и т.д	3	12
14	в самом	6	11
15	в целом	8	10
16	но и	12	10
17	было бы	3	10
18	в своем	4	9
19	может быть	6	9
20	не может	4	9
21	о том	7	9
22	в сущности	4	9
23	так и	15	8
24	казалось бы	3	8
25	никогда не	3	8
26	не в	4	8
27	если бы	3	8
28	к тому	7	7
29	одной стороны	4	7
30	с одной	5	7
31	и не	12	7
32	на основе	2	7
33	как бы	10	7
34	по себе	2	7
35	он не	2	7
36	и т.п	8	7
37	едва ли	3	7
38	в частности	16	6
39	как мы	3	6
40	в этой	9	6
41	на то	2	6
42	по отношению	4	6
43	с другой	6	6
44	сказать что	2	6
45	как это	6	6
46	но в	6	6
47	вовсе не	2	6
48	и к	5	6
49	как и	14	6
50	вместе с	2	6
51	на этот	2	6
52	речи в	2	6
53	что с	2	5
54	и их	2	5
55	и даже	9	5
56	по существу	2	5
57	все что	2	5
58	отношению к	4	5
59	внутренней речи	4	5
60	приводит к	3	5
61	то же	4	5
62	можно было	3	5
63	прежде всего	3	4
64	что все	2	4
65	по поводу	3	4
66	несмотря на	3	4
67	все это	4	4
68	не имеет	2	4
69	так же	2	4
70	а в	3	4
71	в конечном	3	4
72	для всех	2	4
73	конечном счете	2	4
74	к этому	2	4
75	в качестве	11	4
76	в своей	2	4
77	даже в	2	4
78	не удивительно	3	4
79	как в	4	4
80	как раз	4	4
81	и его	4	4
82	только в	4	4
83	в эту	3	4
84	и сам	3	3
85	для него	4	3
86	при этом	10	3
87	в общем	2	3
88	из них	3	3
89	и до	2	3
90	данном случае	5	3
91	со стороны	3	3
92	языка и	2	3
93	этом отношении	3	3
94	те же	2	3
95	но эта	2	3
96	лишь в	9	3
97	в результате	3	3
98	с ним	2	3
99	мы имеем	3	3
100	и все	3	3
101	и особенно	4	3
102	состоит в	8	3
103	но не	4	3
104	того же	4	3
105	одной из	3	3
106	что она	2	3
107	в игре	7	3
108	тем самым	4	3
109	а не	10	3
110	или в	3	3
111	в данном	8	3
112	он в	4	3
113	в отличие	2	3
114	этого слова	3	3
115	отличие от	2	3
116	ничего не	9	3
117	в противоположность	2	2
118	в этих	2	2
119	столь же	4	2
120	как уже	3	2
121	или иной	3	2
122	можно сказать	4	2
123	что на	3	2
124	с действительностью	2	2
125	той или	3	2
126	в котором	2	2
127	и тем	4	2
128	с ее	2	2
129	на этой	2	2
130	в первой	3	2
131	могут быть	10	2
132	в их	3	2
133	не следует	2	2
134	говорить о	6	2
135	а также	7	2
136	в одном	2	2
137	уже и	2	2
138	у него	4	2
139	отнюдь не	8	2
140	этом смысле	2	2
141	как основной	2	2
142	к его	2	2
143	именно в	3	2
144	представляет собой	8	2
145	с их	2	2
146	в один	4	2
147	за пределы	4	2
148	иначе говоря	11	2
149	в его	2	2
150	речь идет	2	2
151	что и	3	2
152	как говорит	2	2
153	во всех	4	2
154	и для	2	2
155	в себя	4	2
156	нас к	2	2
157	той же	2	2
158	тому как	3	2
159	тем что	3	2
160	подобно тому	3	2
161	в себе	7	2
162	на протяжении	2	2
163	в споре	2	2
164	стало быть	2	2
