N	2gram	Medvedev_U_1	slovoVRo
1	и в	14	41
2	могут быть	2	19
3	но и	4	16
4	и не	8	16
5	не только	10	16
6	а не	10	15
7	то же	5	14
8	может быть	6	14
9	не может	7	14
10	в то	3	14
11	в его	2	13
12	же время	3	12
13	в этом	7	12
14	таким образом	2	9
15	прежде всего	8	8
16	но в	3	8
17	все они	2	7
18	не в	2	7
19	в своей	3	7
20	все же	3	7
21	это не	3	6
22	только в	2	6
23	с другой	4	5
24	в самом	2	5
25	все это	5	5
26	меньшей степени	2	4
27	одним из	2	4
28	в их	4	4
29	и формы	3	4
30	и с	2	4
31	с его	2	4
32	всех этих	2	4
33	не как	3	4
34	как и	3	4
35	другой стороны	3	4
36	и для	2	4
37	ничего не	2	4
38	не могут	2	3
39	хотя бы	5	3
40	формы и	2	3
41	в том	2	3
42	для него	3	3
43	его и	2	3
44	как такового	3	3
45	в себе	2	3
46	по существу	2	3
47	было бы	3	3
48	конечно не	4	3
49	бы и	2	3
50	в частности	3	2
51	что все	2	2
52	ни было	3	2
53	в широком	2	2
54	мы и	2	2
55	именно как	2	2
56	между тем	2	2
57	а как	2	2
58	перестает быть	5	2
59	у нас	3	2
60	том что	2	2
61	но не	2	2
62	до сих	2	2
63	сих пор	2	2
64	как раз	2	2
65	и у	2	2
66	не есть	2	2
67	мы не	2	2
68	нас в	2	2
69	и то	3	2
70	а между	2	2
