N	2gram	Nazirov_Vr_1	Marksizm
1	точки зрения	2	34
2	может быть	4	26
3	и не	5	26
4	не может	2	24
5	с точки	2	20
6	и в	8	19
7	и его	3	19
8	таким образом	2	17
9	в этом	8	16
10	как бы	4	15
11	как и	6	12
12	связи с	3	11
13	в нем	6	10
14	и т.п	2	10
15	для него	2	9
16	при этом	4	8
17	но и	7	8
18	не только	9	8
19	все же	6	8
20	то что	7	8
21	– это	6	8
22	в связи	3	7
23	так же	4	7
24	но в	6	7
25	то же	5	7
26	в том	3	6
27	отнюдь не	2	6
28	в его	3	6
29	в конце	3	5
30	мы знаем	2	5
31	рядом с	2	5
32	в начале	6	5
33	и все	7	5
34	к этому	3	5
35	что в	7	4
36	не менее	2	4
37	как же	2	4
38	в ней	4	4
39	а в	2	4
40	еще не	2	4
41	далеко не	3	4
42	место в	2	3
43	и как	3	3
44	же время	5	3
45	в котором	6	3
46	из них	2	3
47	все это	4	3
48	не было	5	3
49	между тем	5	3
50	в то	5	3
51	его в	3	3
52	том что	3	3
53	он не	3	3
54	в своей	2	3
55	в истории	4	3
56	целый ряд	4	3
57	и ее	2	3
58	и это	2	3
59	же как	2	2
60	никогда не	2	2
61	в своем	3	2
62	в свою	2	2
63	одним из	3	2
64	в виду	4	2
65	в эти	2	2
66	и даже	6	2
67	в своих	4	2
68	о том	4	2
69	и с	6	2
70	и во	3	2
71	что он	4	2
72	в себе	2	2
73	в романе	6	2
74	этот момент	2	2
75	одна из	2	2
76	на первый	2	2
77	лишнего человека	8	2
78	как раз	2	2
79	человека в	3	2
80	и он	2	2
81	тем что	3	2
82	в русской	3	2
83	в чем	3	2
