N	2gram	Propp_Morf_1	Hudozhes
1	и в	13	28
2	том что	4	19
3	и не	12	18
4	в том	6	15
5	а не	11	14
6	не в	3	13
7	в этом	14	13
8	о том	2	12
9	перед нами	10	11
10	как и	3	11
11	не только	4	11
12	уже не	2	10
13	но и	4	9
14	что он	4	8
15	может быть	52	8
16	так и	6	8
17	между тем	5	8
18	к тому	4	7
19	об этом	4	7
20	в частности	2	7
21	отношению к	4	7
22	что она	2	7
23	по отношению	4	7
24	тогда как	2	7
25	состоит в	2	7
26	как это	3	7
27	это не	6	6
28	можно сказать	2	6
29	то что	8	6
30	если бы	2	6
31	то же	7	6
32	а в	7	6
33	тем что	4	6
34	в то	3	6
35	с его	2	5
36	и другие	6	5
37	не менее	5	5
38	как бы	3	5
39	как в	3	5
40	в этой	2	5
41	что в	8	5
42	она не	2	5
43	наряду с	5	5
44	ничего не	4	5
45	тому что	4	4
46	тем не	5	4
47	то в	3	4
48	но не	4	4
49	что они	2	4
50	в качестве	5	4
51	для того	2	4
52	вслед за	5	4
53	он не	3	4
54	что и	7	4
55	и т	41	4
56	не может	14	4
57	того чтобы	3	4
58	подобно тому	6	4
59	как будто	2	4
60	только в	2	4
61	тому как	5	4
62	в других	3	4
63	с другой	8	3
64	прежде всего	9	3
65	и ее	3	3
66	для нас	2	3
67	самом деле	4	3
68	есть и	4	3
69	еще не	3	3
70	было бы	3	3
71	несмотря на	4	3
72	не все	6	3
73	в этих	13	3
74	на него	3	3
75	со стороны	3	3
76	а с	2	3
77	следующим образом	3	3
78	так же	3	3
79	или в	4	3
80	можно было	2	3
81	к нему	3	3
82	сам он	3	2
83	прежде чем	3	2
84	т е	21	2
85	себя и	2	2
86	однако в	2	2
87	нельзя было	2	2
88	его и	2	2
89	с собой	3	2
90	вовсе не	4	2
91	как уже	2	2
92	идет по	2	2
93	не с	2	2
94	как мы	6	2
95	она в	2	2
96	а по	3	2
97	ее по	3	2
98	одна из	4	2
99	на этом	3	2
100	они и	3	2
101	это уже	3	2
102	и к	4	2
103	не по	2	2
104	а также	4	2
105	если в	5	2
106	не является	3	2
107	один из	5	2
108	в нашем	3	2
109	оно не	2	2
110	это было	3	2
111	все же	7	2
112	в первом	3	2
113	как же	2	2
114	из них	3	2
115	дело не	2	2
116	что же	2	2
117	приводит к	2	2
118	здесь не	2	2
119	т д	39	2
120	того как	2	2
121	во втором	3	2
122	который в	2	2
123	хотя бы	4	2
124	и для	2	2
125	с точки	2	2
126	сказать что	2	2
127	потому что	3	2
128	в виде	2	2
129	точки зрения	2	2
130	говорить о	3	2
131	в другом	2	2
132	могла бы	4	2
133	с того	3	2
134	его в	2	2
135	та же	2	2
136	но в	2	2
