N	2gram	Nazirov_Tv_1	KFilosof
1	может быть	5	43
2	в его	13	39
3	в нем	3	31
4	не может	4	27
5	и не	7	26
6	и в	21	22
7	в котором	6	21
8	в себе	2	21
9	а не	5	17
10	и его	6	17
11	только в	5	16
12	в этом	6	13
13	для него	6	12
14	но не	3	12
15	в своей	4	11
16	не в	2	11
17	из себя	2	10
18	в своем	4	10
19	это не	4	10
20	все это	10	10
21	в целом	4	9
22	но и	3	9
23	в их	3	9
24	как бы	17	9
25	и все	6	9
26	жизни и	3	8
27	вовсе не	5	7
28	что и	2	7
29	то что	8	7
30	в себя	2	7
31	я не	3	6
32	в том	7	6
33	но это	5	6
34	в мире	4	6
35	отнюдь не	5	6
36	он не	8	6
37	уже не	3	6
38	мира в	2	6
39	никогда не	3	5
40	хотя бы	5	5
41	ее и	2	5
42	то же	13	5
43	его как	2	5
44	именно в	2	5
45	в основе	2	5
46	с ним	3	5
47	но в	7	5
48	не знает	2	5
49	жизни в	6	5
50	как и	12	5
51	что я	3	5
52	не только	7	5
53	все же	5	5
54	времени и	4	4
55	место в	3	4
56	что в	12	4
57	здесь мы	2	4
58	при этом	7	4
59	не по	3	4
60	в своих	5	4
61	том что	11	4
62	во всей	2	4
63	а в	6	4
64	тем самым	7	4
65	в чем	2	4
66	не менее	6	3
67	в каждом	3	3
68	других людей	2	3
69	в свою	7	3
70	до конца	2	3
71	в виду	2	3
72	когда я	2	3
73	был бы	2	3
74	здесь нет	2	3
75	и тем	2	3
76	того что	3	3
77	где он	2	3
78	и на	7	3
79	людей и	2	3
80	в ней	2	3
81	в то	15	3
82	о том	6	3
83	действительной жизни	3	3
84	не могу	2	3
85	на самом	3	3
86	самом деле	2	3
87	что не	2	3
88	могут быть	2	3
89	в момент	4	3
90	может не	2	2
91	это уже	5	2
92	и время	2	2
93	та же	4	2
94	прежде всего	4	2
95	тем не	2	2
96	и как	4	2
97	соответствии с	3	2
98	же время	12	2
99	он ни	3	2
100	в него	2	2
101	как к	2	2
102	и других	3	2
103	на первом	2	2
104	действительности в	2	2
105	в принципе	2	2
106	для этой	2	2
107	отказаться от	2	2
108	а по	2	2
109	потому что	5	2
110	и будущее	2	2
111	подхода к	3	2
112	пространства и	2	2
113	себя как	2	2
114	я и	3	2
115	а как	2	2
116	с его	11	2
117	в жизни	2	2
118	к этому	2	2
119	что он	6	2
120	во главе	2	2
121	и того	2	2
122	в соответствии	3	2
123	не будет	2	2
124	в качестве	2	2
125	не нужно	2	2
126	тот же	2	2
127	со всеми	3	2
128	и когда	2	2
129	дело не	3	2
130	так и	2	2
131	как в	8	2
132	в ту	3	2
133	в виде	3	2
134	еще более	2	2
135	это и	3	2
136	в данном	2	2
137	и та	2	2
138	в этой	5	2
139	первом плане	2	2
140	дело в	3	2
141	же с	2	2
