N	2gram	Bakhtin_Pr_2	KulturaY
1	потому что	8	25
2	и в	45	23
3	не только	16	20
4	в том	8	19
5	в этом	20	18
6	и не	42	16
7	было бы	4	15
8	так как	5	15
9	может быть	18	15
10	точки зрения	19	14
11	если бы	2	12
12	у нас	2	12
13	в самом	13	12
14	все эти	4	12
15	том что	7	11
16	в области	2	11
17	но в	6	11
18	что в	6	10
19	по себе	8	10
20	а не	10	10
21	вовсе не	7	9
22	в сущности	7	9
23	то что	5	9
24	самом деле	4	9
25	хотя бы	5	9
26	можно было	2	9
27	не может	24	9
28	прежде всего	11	8
29	не в	8	8
30	уже не	6	8
31	и что	2	8
32	и пр	2	8
33	с точки	9	8
34	не менее	2	7
35	в нашем	2	7
36	все же	4	7
37	но и	15	7
38	и с	7	7
39	слова в	4	6
40	это не	3	6
41	по крайней	2	6
42	крайней мере	2	6
43	но не	6	6
44	что не	5	6
45	то же	5	6
46	этот вопрос	4	6
47	и на	7	6
48	я не	6	5
49	должна быть	3	5
50	что все	3	5
51	этом смысле	5	5
52	что он	7	5
53	об этом	3	5
54	тот же	2	5
55	еще не	9	5
56	в его	22	5
57	этого слова	2	5
58	один из	2	5
59	что же	4	5
60	все это	5	5
61	таким образом	11	5
62	там где	6	5
63	и вот	2	5
64	лишь в	2	5
65	как это	2	5
66	само по	2	5
67	и здесь	2	5
68	только в	9	5
69	зависимости от	3	5
70	мы имеем	2	5
71	была бы	3	4
72	в зависимости	3	4
73	в них	4	4
74	перед нами	4	4
75	к этому	4	4
76	бы и	3	4
77	на то	2	4
78	можно сказать	2	4
79	но только	2	4
80	ни в	2	4
81	но все	4	4
82	должно быть	4	4
83	в пределах	4	4
84	или в	2	4
85	от того	2	4
86	хотя и	2	4
87	как бы	15	4
88	в нем	20	4
89	со стороны	4	4
90	так же	5	4
91	не было	2	4
92	этой области	2	4
93	и о	2	4
94	не имеет	3	4
95	в результате	3	4
96	сказать что	5	4
97	могут быть	4	4
98	в то	5	4
99	в конце	4	4
100	в особенности	2	4
101	ничего не	3	4
102	так и	3	4
103	уже в	4	3
104	у него	6	3
105	для этого	3	3
106	же время	3	3
107	а только	2	3
108	но это	2	3
109	до конца	7	3
110	меньшей степени	2	3
111	в ней	7	3
112	он не	9	3
113	в сфере	2	3
114	что и	5	3
115	как не	5	3
116	в процессе	2	3
117	что она	4	3
118	как в	4	3
119	как раз	6	3
120	в форме	2	3
121	этом отношении	2	3
122	не знает	4	3
123	именно в	3	3
124	те же	2	3
125	как мы	8	3
126	того что	3	3
127	из которых	2	3
128	и по	2	3
129	вот почему	3	3
130	а в	3	3
131	и его	8	3
132	конце концов	3	3
133	тем что	2	3
134	выражение в	3	3
135	есть в	8	3
136	здесь не	2	3
137	к этой	2	3
138	в виду	2	3
139	за собой	2	2
140	только для	2	2
141	строится на	2	2
142	и более	2	2
143	же как	4	2
144	сознания и	6	2
145	никогда не	17	2
146	смысле этого	2	2
147	что у	4	2
148	не как	6	2
149	и от	3	2
150	и до	4	2
151	что они	3	2
152	в самой	3	2
153	и потому	6	2
154	что если	3	2
155	а на	2	2
156	этот термин	2	2
157	она не	5	2
158	при этом	2	2
159	конечно не	6	2
160	таким же	2	2
161	он уже	2	2
162	в свое	2	2
163	и даже	3	2
164	здесь то	2	2
165	к нему	11	2
166	мы видели	3	2
167	но уже	2	2
168	по сравнению	2	2
169	превращается в	4	2
170	в своей	6	2
171	все они	4	2
172	формулы и	2	2
173	а именно	3	2
174	в их	4	2
175	и следовательно	7	2
176	за счет	2	2
177	в своем	5	2
178	не на	4	2
179	или же	2	2
180	того как	3	2
181	и для	2	2
182	достоевского и	2	2
183	как и	14	2
184	образом в	2	2
185	этой точки	2	2
186	в той	3	2
187	тем самым	2	2
188	свое время	2	2
189	и у	2	2
190	что значит	2	2
191	что для	2	2
192	рядом с	3	2
193	с ними	4	2
194	конечно и	2	2
195	быть только	2	2
196	даже и	2	2
197	он и	4	2
198	в своих	4	2
199	как у	2	2
200	не хочу	2	2
201	мы должны	4	2
202	что эта	2	2
203	большинстве случаев	2	2
204	отношения к	2	2
