N	2gram	Vygotskiy__5	Sovremen
1	не может	9	17
2	точки зрения	7	12
3	может быть	11	12
4	таким образом	20	11
5	мы не	3	9
6	в каждом	2	8
7	не можем	4	7
8	в этом	14	7
9	и в	30	7
10	и не	6	6
11	как и	6	6
12	в результате	4	6
13	мы можем	7	6
14	ничего не	2	6
15	прежде всего	4	5
16	все эти	2	5
17	и наконец	3	5
18	с точки	2	5
19	как бы	19	4
20	если мы	16	4
21	в целом	5	4
22	жизни и	6	4
23	вместе с	12	4
24	в зависимости	6	4
25	это не	3	4
26	а в	4	4
27	вопрос о	3	4
28	не только	16	4
29	с помощью	2	4
30	в том	27	4
31	из них	2	4
32	мы должны	3	4
33	зависимости от	7	4
34	так как	9	4
35	уже в	6	3
36	но мы	2	3
37	самого начала	3	3
38	все же	7	3
39	мы получим	2	3
40	при таком	3	3
41	между собой	2	3
42	все это	2	3
43	отличается от	2	3
44	мы называем	2	3
45	в конце	4	3
46	то же	7	3
47	ясно что	6	3
48	в нем	7	3
49	а не	8	3
50	и к	4	3
51	из двух	3	3
52	для нас	3	3
53	у нас	4	3
54	когда мы	6	3
55	с самого	3	3
56	не в	8	3
57	в этой	5	3
58	одна из	3	3
59	еще не	5	3
60	он в	2	3
61	ли мы	2	3
62	при этом	8	3
63	было бы	5	3
64	и мы	16	3
65	в одном	2	3
66	и все	4	3
67	как он	2	3
68	в себе	5	3
69	следующим образом	2	3
70	что она	6	3
71	но в	5	3
72	и потому	5	3
73	совершенно не	6	2
74	этих двух	7	2
75	не могут	3	2
76	что это	8	2
77	и есть	5	2
78	и именно	4	2
79	у него	3	2
80	быть и	2	2
81	с совершенно	2	2
82	в нашем	2	2
83	приводит к	2	2
84	в отличие	2	2
85	из этих	3	2
86	тем же	3	2
87	что все	6	2
88	с одной	12	2
89	как мы	5	2
90	в свою	3	2
91	или иной	2	2
92	самом деле	8	2
93	и что	23	2
94	что при	3	2
95	мы с	3	2
96	из которых	4	2
97	на этот	3	2
98	и даже	2	2
99	мы знаем	2	2
100	он должен	8	2
101	той же	3	2
102	мы видим	8	2
103	в таком	3	2
104	но все	2	2
105	на этом	6	2
106	времени и	3	2
107	знаем что	2	2
108	могут быть	8	2
109	с этим	2	2
110	что в	24	2
111	не дает	2	2
112	с другом	3	2
113	тот же	3	2
114	же самое	5	2
115	если же	2	2
116	на его	3	2
117	по мнению	6	2
118	в самом	14	2
119	друг с	3	2
120	в которой	3	2
121	отличие от	2	2
122	в его	4	2
