N	2gram	Bakhtin_Pr_5	TeoriaLi
1	в мире	4	24
2	не только	10	18
3	и не	27	16
4	я в	4	16
5	а в	7	14
6	и в	35	13
7	может быть	14	12
8	так и	8	12
9	то есть	16	12
10	при этом	2	11
11	в этом	14	11
12	в том	5	11
13	но не	6	10
14	а не	4	10
15	и его	14	10
16	в его	21	9
17	то же	15	9
18	в душе	2	8
19	сводится к	3	8
20	что в	6	8
21	своего рода	2	8
22	отношению к	7	8
23	но и	14	8
24	по отношению	6	8
25	себя в	2	7
26	в себе	5	7
27	том что	3	7
28	в отличие	2	7
29	точки зрения	7	7
30	по своей	2	7
31	в то	11	7
32	только в	6	7
33	отличие от	2	7
34	с его	7	6
35	же время	10	6
36	еще не	7	6
37	лишь в	7	6
38	как бы	31	6
39	но в	19	6
40	однако в	2	5
41	в своем	2	5
42	или иной	4	5
43	в ее	3	5
44	как и	18	5
45	не в	10	5
46	в пределах	11	5
47	в самом	6	5
48	в нем	16	5
49	как в	5	5
50	он не	13	5
51	уже не	3	5
52	с другой	4	5
53	не случайно	2	5
54	между тем	4	5
55	героя и	10	5
56	не менее	2	4
57	ни в	2	4
58	в своей	4	4
59	то что	10	4
60	отношение к	6	4
61	в форме	3	4
62	приводит к	2	4
63	и т.п	6	4
64	не может	18	4
65	в слове	6	4
66	сказать что	3	4
67	хотя и	2	4
68	но он	4	4
69	говорить о	3	4
70	не знает	6	4
71	слова в	6	3
72	никогда не	4	3
73	в этих	2	3
74	в отношении	9	3
75	этом смысле	3	3
76	прежде всего	12	3
77	и к	12	3
78	по своему	4	3
79	для него	14	3
80	того что	3	3
81	и сам	7	3
82	мог бы	2	3
83	например в	2	3
84	в сторону	2	3
85	совпадает с	2	3
86	той или	4	3
87	этого слова	5	3
88	с ее	3	3
89	другой стороны	3	3
90	как раз	4	3
91	так в	2	3
92	таким образом	7	3
93	а с	3	3
94	в другом	12	3
95	и вот	4	3
96	и что	6	3
97	и по	2	3
98	или в	2	3
99	самим собой	7	3
100	и то	5	3
101	потому что	8	3
102	между двумя	2	3
103	на меня	6	3
104	и т.д	3	3
105	отношении к	7	3
106	его в	4	3
107	все эти	3	3
108	в произведении	2	3
109	человека с	3	3
110	герой не	2	3
111	я не	8	2
112	но на	4	2
113	за пределы	3	2
114	себя и	8	2
115	в конце	5	2
116	передо мной	2	2
117	это не	3	2
118	о себе	17	2
119	этих двух	2	2
120	вовсе не	7	2
121	по себе	4	2
122	что он	24	2
123	к тому	6	2
124	но как	4	2
125	и того	2	2
126	и как	2	2
127	что они	6	2
128	внутренний голос	2	2
129	в глаза	5	2
130	в большинстве	2	2
131	одно и	3	2
132	слове о	2	2
133	одной из	2	2
134	в виду	3	2
135	даже в	5	2
136	к нему	13	2
137	в диалоге	3	2
138	в целом	3	2
139	слова не	2	2
140	во всех	3	2
141	вместе с	2	2
142	как к	5	2
143	и для	8	2
144	я как	3	2
145	от себя	5	2
146	это и	3	2
147	к одному	3	2
148	в той	4	2
149	с точки	2	2
150	и даже	5	2
151	так же	7	2
152	в рассказе	2	2
153	их в	2	2
154	у него	4	2
155	самим собою	9	2
156	как будто	4	2
157	без исключения	2	2
158	о том	2	2
159	и это	5	2
160	в чем	4	2
161	в которой	2	2
162	я и	2	2
163	мире и	2	2
164	к герою	8	2
165	это было	2	2
