N	2gram	Potebnia_M_3	Freidism
1	таким образом	14	24
2	и не	15	23
3	не может	6	20
4	точки зрения	2	19
5	прежде всего	3	18
6	в этом	10	15
7	в его	4	15
8	в душе	10	13
9	мы можем	3	13
10	может быть	28	13
11	и его	4	12
12	как и	10	11
13	как бы	3	11
14	то что	18	11
15	и потому	4	10
16	так и	11	10
17	как мы	7	10
18	самом деле	2	10
19	его в	3	10
20	с ним	6	10
21	в сознание	7	9
22	и в	30	9
23	по отношению	5	9
24	все что	4	8
25	что он	6	8
26	отношению к	5	8
27	еще не	5	8
28	в своей	2	8
29	он не	4	8
30	не только	21	8
31	все это	4	8
32	то же	23	8
33	только в	21	8
34	и все	3	8
35	так как	13	8
36	ни в	2	7
37	к нему	3	7
38	один из	4	7
39	мы видели	4	7
40	отношение к	2	7
41	в самом	8	7
42	что же	2	7
43	те же	6	7
44	и наконец	2	7
45	сказать что	5	7
46	мы уже	2	7
47	вовсе не	7	6
48	для него	9	6
49	за пределы	2	6
50	того что	18	6
51	в ней	8	6
52	так сказать	2	6
53	и с	2	6
54	с сознанием	2	5
55	связь с	3	5
56	но мы	2	5
57	в свою	3	5
58	можно сказать	3	5
59	не в	15	5
60	в этой	2	5
61	в чем	3	5
62	в то	10	5
63	что такое	2	5
64	его жизни	2	5
65	что в	17	5
66	но и	19	5
67	для того	4	5
68	а в	12	5
69	и на	3	5
70	могут быть	3	5
71	с этим	6	5
72	в каком	5	5
73	мы должны	4	5
74	я и	3	5
75	не менее	5	4
76	но не	7	4
77	в котором	4	4
78	из этих	9	4
79	не дает	2	4
80	в собственном	2	4
81	с другими	5	4
82	к тому	7	4
83	об этом	2	4
84	же время	5	4
85	в последнем	3	4
86	при этом	3	4
87	и о	2	4
88	от того	8	4
89	в нем	9	4
90	все же	2	4
91	не было	4	4
92	уже не	6	4
93	того чтобы	3	4
94	в которой	3	4
95	той же	2	4
96	мы не	9	4
97	в таком	3	4
98	потому что	46	4
99	во время	2	4
100	себя и	4	4
101	говорить о	3	4
102	не могут	5	3
103	если бы	12	3
104	и есть	3	3
105	тому что	3	3
106	в них	5	3
107	и от	4	3
108	что все	3	3
109	а только	3	3
110	в себе	16	3
111	и как	5	3
112	представления и	3	3
113	но это	6	3
114	и оно	3	3
115	по своему	2	3
116	по поводу	4	3
117	она не	2	3
118	и может	3	3
119	было бы	9	3
120	и тот	2	3
121	ни о	3	3
122	и той	2	3
123	жизни и	2	3
124	на него	3	3
125	вместе с	12	3
126	собственном смысле	2	3
127	со стороны	3	3
128	и содержание	2	3
129	не знает	3	3
130	как в	10	3
131	мысли и	2	3
132	одной и	4	3
133	и что	10	3
134	свою очередь	3	3
135	и по	4	3
136	у него	2	3
137	в искусстве	3	3
138	ничего общего	2	3
139	может стать	2	3
140	слова и	5	3
141	таком случае	2	3
142	человека и	5	3
143	в сознании	15	3
144	уже в	5	2
145	этого не	3	2
146	зависит от	6	2
147	но все	2	2
148	только не	2	2
149	что это	4	2
150	для себя	3	2
151	в какой	2	2
152	с другой	7	2
153	оно не	4	2
154	же что	6	2
155	и теперь	6	2
156	к этому	3	2
157	для понимания	4	2
158	или вовсе	3	2
159	человек не	2	2
160	не можем	3	2
161	для развития	2	2
162	чувства и	3	2
163	для ребенка	2	2
164	тем не	3	2
165	для нас	20	2
166	в ее	2	2
167	это и	2	2
168	том что	18	2
169	самого себя	3	2
170	не существует	3	2
171	а не	15	2
172	что с	2	2
173	для сознания	4	2
174	одной стороны	3	2
175	из них	6	2
176	душевной жизни	6	2
177	что мы	8	2
178	как ее	2	2
179	относится к	4	2
180	в своем	5	2
181	и до	2	2
182	ответ на	3	2
183	в свой	2	2
184	сих пор	3	2
185	что она	3	2
186	в их	2	2
187	только на	3	2
188	в нас	2	2
189	что как	2	2
190	а с	2	2
191	этом отношении	2	2
192	с одной	7	2
193	что оно	11	2
194	а потому	6	2
195	из того	2	2
196	заметить что	3	2
197	тем же	4	2
198	и даже	2	2
199	и притом	2	2
200	дает нам	3	2
201	на первых	2	2
202	так же	3	2
203	как на	5	2
204	на которой	3	2
205	мы видим	2	2
206	это содержание	5	2
207	и то	8	2
208	их в	2	2
209	то или	2	2
210	от этого	2	2
211	что и	13	2
212	и при	4	2
213	но как	2	2
214	и вообще	3	2
215	в первом	3	2
216	до сих	3	2
217	и самое	2	2
218	когда мы	2	2
219	же с	6	2
220	в области	2	2
221	возможно только	3	2
222	это было	3	2
