N	2gram	Berdyaev_N_1	Freidism
1	и не	11	23
2	не может	16	20
3	прежде всего	4	18
4	и пр	3	15
5	в этом	7	15
6	может быть	7	13
7	как и	7	11
8	то что	4	11
9	все эти	2	11
10	и потому	4	10
11	так и	2	10
12	но в	2	10
13	с его	6	9
14	и в	16	9
15	во всех	3	9
16	еще не	3	8
17	в своей	3	8
18	он не	8	8
19	не только	5	8
20	все это	5	8
21	и все	4	8
22	ни в	6	7
23	сказать что	3	7
24	никогда не	6	6
25	за пределы	3	6
26	в ней	5	6
27	хотя бы	2	6
28	и с	2	6
29	на протяжении	2	6
30	и к	5	5
31	не в	6	5
32	для этого	2	5
33	в то	2	5
34	что такое	3	5
35	что в	9	5
36	но и	3	5
37	а в	2	5
38	и на	2	5
39	могут быть	2	5
40	с этим	2	5
41	не менее	4	4
42	но не	2	4
43	я не	2	4
44	в жизни	5	4
45	к тому	3	4
46	смысле слова	3	4
47	конечно не	3	4
48	в основе	3	4
49	в нем	5	4
50	не было	4	4
51	уже не	2	4
52	того чтобы	2	4
53	и для	4	4
54	совсем не	12	4
55	мы не	2	4
56	с их	2	4
57	потому что	4	4
58	и есть	10	3
59	в них	4	3
60	жизни к	4	3
61	и от	2	3
62	что все	2	3
63	в себе	2	3
64	но это	6	3
65	по своему	4	3
66	она не	3	3
67	с ее	5	3
68	себя в	2	3
69	жизни и	8	3
70	вместе с	2	3
71	не знает	6	3
72	как в	3	3
73	мысли и	2	3
74	и что	2	3
75	и т.п	2	3
76	такой же	2	3
77	у него	2	3
78	одна из	2	3
79	человека и	3	3
80	зависит от	2	2
81	с другой	3	2
82	это не	4	2
83	формы и	2	2
84	стремление к	2	2
85	в одну	2	2
86	большую роль	4	2
87	в ее	3	2
88	это и	2	2
89	том что	2	2
90	высшей степени	6	2
91	в прошлом	3	2
92	не существует	3	2
93	а не	17	2
94	одной стороны	2	2
95	но для	2	2
96	каждого человека	2	2
97	как не	8	2
98	все они	2	2
99	что она	2	2
100	с одной	2	2
101	в высшей	6	2
102	и даже	2	2
103	так же	2	2
104	роль в	2	2
105	и начинается	2	2
106	когда мы	2	2
107	как это	2	2
108	это было	3	2
